"Report date","Week #","Week ","AZ","","Week","1990 Recession","2001 Recession","Great Recession","COVID-19","","Week","1990 Recession","2001 Recession","Great Recession","COVID-19"
"32886.0","1.0","32879.0","3279.0","","Week 1","2964.0","3635.0","3710.0","29348.0","","1.0","2964.0","3635.0","3710.0","29348.0"
"32893.0","2.0","32886.0","3265.0","","Week 2","2934.0","4397.0","2620.0","88940.0","","2.0","5898.0","8032.0","6330.0","118288.0"
"32900.0","3.0","32893.0","2992.0","","Week 3","2560.0","6978.0","3347.0","132428.0","","3.0","8458.0","15010.0","9677.0","250716.0"
"32907.0","4.0","32900.0","2941.0","","Week 4","2485.0","6595.0","5218.0","98531.0","","4.0","10943.0","21605.0","14895.0","349247.0"
"32914.0","5.0","32907.0","2471.0","","Week 5","2571.0","5267.0","4644.0","72457.0","","5.0","13514.0","26872.0","19539.0","421704.0"
"32921.0","6.0","32914.0","2599.0","","Week 6","2284.0","4838.0","3979.0","52581.0","","6.0","15798.0","31710.0","23518.0","474285.0"
"32928.0","7.0","32921.0","2692.0","","Week 7","2281.0","5095.0","4119.0","43023.0","","7.0","18079.0","36805.0","27637.0","517308.0"
"32935.0","8.0","32928.0","2637.0","","Week 8","2259.0","4511.0","4582.0","31570.0","","8.0","20338.0","41316.0","32219.0","548878.0"
"32942.0","9.0","32935.0","2382.0","","Week 9","2429.0","4762.0","4164.0","31957.0","","9.0","22767.0","46078.0","36383.0","580835.0"
"32949.0","10.0","32942.0","2109.0","","Week 10","2156.0","4403.0","3746.0","26868.0","","10.0","24923.0","50481.0","40129.0","607703.0"
"32956.0","11.0","32949.0","2355.0","","Week 11","2595.0","5211.0","4237.0","22012.0","","11.0","27518.0","55692.0","44366.0","629715.0"
"32963.0","12.0","32956.0","3497.0","","Week 12","2487.0","5217.0","4458.0","24367.0","","12.0","30005.0","60909.0","48824.0","654082.0"
"32970.0","13.0","32963.0","2928.0","","Week 13","2557.0","4958.0","4376.0","22419.0","","13.0","32562.0","65867.0","53200.0","676501.0"
"32977.0","14.0","32970.0","2794.0","","Week 14","2515.0","4251.0","4136.0","25886.0","","14.0","35077.0","70118.0","57336.0","702387.0"
"32984.0","15.0","32977.0","2611.0","","Week 15","2649.0","4167.0","4525.0","26328.0","","15.0","37726.0","74285.0","61861.0","728715.0"
"32991.0","16.0","32984.0","2724.0","","Week 16","2913.0","6374.0","6245.0","25774.0","","16.0","40639.0","80659.0","68106.0","754489.0"
"32998.0","17.0","32991.0","2644.0","","Week 17","2844.0","5781.0","7522.0","28695.0","","17.0","43483.0","86440.0","75628.0","783184.0"
"33005.0","18.0","32998.0","2792.0","","Week 18","2563.0","4730.0","6583.0","21441.0","","18.0","46046.0","91170.0","82211.0","804625.0"
"33012.0","19.0","33005.0","2709.0","","Week 19","2967.0","4419.0","5078.0","19063.0","","19.0","49013.0","95589.0","87289.0","823688.0"
"33019.0","20.0","33012.0","2712.0","","Week 20","3355.0","4876.0","4992.0","15561.0","","20.0","52368.0","100465.0","92281.0","839249.0"
"33026.0","21.0","33019.0","3253.0","","Week 21","2720.0","4668.0","5158.0","11655.0","","21.0","55088.0","105133.0","97439.0","850904.0"
"33033.0","22.0","33026.0","2646.0","","Week 22","3133.0","4669.0","4940.0","12775.0","","22.0","58221.0","109802.0","102379.0","863679.0"
"33040.0","23.0","33033.0","2722.0","","Week 23","2113.0","3963.0","5184.0","12487.0","","23.0","60334.0","113765.0","107563.0","876166.0"
"33047.0","24.0","33040.0","2841.0","","Week 24","3214.0","3999.0","5206.0","11705.0","","24.0","63548.0","117764.0","112769.0","887871.0"
"33054.0","25.0","33047.0","4286.0","","Week 25","4885.0","4195.0","6112.0","11343.0","","25.0","68433.0","121959.0","118881.0","899214.0"
"33061.0","26.0","33054.0","3436.0","","Week 26","3592.0","4120.0","6132.0","9979.0","","26.0","72025.0","126079.0","125013.0","909193.0"
"33068.0","27.0","33061.0","2977.0","","Week 27","3513.0","4282.0","5581.0","9065.0","","27.0","75538.0","130361.0","130594.0","918258.0"
"33075.0","28.0","33068.0","2964.0","","Week 28","3374.0","4657.0","5476.0","8208.0","","28.0","78912.0","135018.0","136070.0","926466.0"
"33082.0","29.0","33075.0","2934.0","","Week 29","3406.0","5623.0","5842.0","7966.0","","29.0","82318.0","140641.0","141912.0","934432.0"
"33089.0","30.0","33082.0","2560.0","","Week 30","3240.0","5301.0","7466.0","10004.0","","30.0","85558.0","145942.0","149378.0","944436.0"
"33096.0","31.0","33089.0","2485.0","","Week 31","3043.0","5047.0","6158.0","","","31.0","88601.0","150989.0","155536.0",""
"33103.0","32.0","33096.0","2571.0","","Week 32","3219.0","5105.0","5698.0","","","32.0","91820.0","156094.0","161234.0",""
"33110.0","33.0","33103.0","2284.0","","Week 33","3304.0","5711.0","5247.0","","","33.0","95124.0","161805.0","166481.0",""
"33117.0","34.0","33110.0","2281.0","","Week 34","2946.0","6349.0","5719.0","","","34.0","98070.0","168154.0","172200.0",""
"33124.0","35.0","33117.0","2259.0","","Week 35","2673.0","5332.0","5391.0","","","35.0","100743.0","173486.0","177591.0",""
"33131.0","36.0","33124.0","2429.0","","Week 36","2618.0","3786.0","5420.0","","","36.0","103361.0","177272.0","183011.0",""
"33138.0","37.0","33131.0","2156.0","","Week 37","3281.0","5544.0","5044.0","","","37.0","106642.0","182816.0","188055.0",""
"33145.0","38.0","33138.0","2595.0","","Week 38","4131.0","","4871.0","","","38.0","110773.0","","192926.0",""
"33152.0","39.0","33145.0","2487.0","","Week 39","","","5539.0","","","39.0","","","198465.0",""
"33159.0","40.0","33152.0","2557.0","","Week 40","","","5571.0","","","40.0","","","204036.0",""
"33166.0","41.0","33159.0","2515.0","","Week 41","","","5607.0","","","41.0","","","209643.0",""
"33173.0","42.0","33166.0","2649.0","","Week 42","","","6540.0","","","42.0","","","216183.0",""
"33180.0","43.0","33173.0","2913.0","","Week 43","","","7292.0","","","43.0","","","223475.0",""
"33187.0","44.0","33180.0","2844.0","","Week 44","","","6224.0","","","44.0","","","229699.0",""
"33194.0","45.0","33187.0","2563.0","","Week 45","","","6190.0","","","45.0","","","235889.0",""
"33201.0","46.0","33194.0","2967.0","","Week 46","","","7882.0","","","46.0","","","243771.0",""
"33208.0","47.0","33201.0","3355.0","","Week 47","","","7866.0","","","47.0","","","251637.0",""
"33215.0","48.0","33208.0","2720.0","","Week 48","","","6047.0","","","48.0","","","257684.0",""
"33222.0","49.0","33215.0","3133.0","","Week 49","","","9641.0","","","49.0","","","267325.0",""
"33229.0","50.0","33222.0","2113.0","","Week 50","","","6638.0","","","50.0","","","273963.0",""
"33236.0","51.0","33229.0","3214.0","","Week 51","","","8733.0","","","51.0","","","282696.0",""
"33243.0","52.0","33236.0","4885.0","","Week 52","","","8353.0","","","52.0","","","291049.0",""
"33250.0","1.0","33243.0","3592.0","","Week 53","","","8734.0","","","53.0","","","299783.0",""
"33257.0","2.0","33250.0","3513.0","","Week 54","","","5138.0","","","54.0","","","304921.0",""
"33264.0","3.0","33257.0","3374.0","","Week 55","","","6264.0","","","55.0","","","311185.0",""
"33271.0","4.0","33264.0","3406.0","","Week 56","","","10786.0","","","56.0","","","321971.0",""
"33278.0","5.0","33271.0","3240.0","","Week 57","","","9578.0","","","57.0","","","331549.0",""
"33285.0","6.0","33278.0","3043.0","","Week 58","","","8156.0","","","58.0","","","339705.0",""
"33292.0","7.0","33285.0","3219.0","","Week 59","","","9412.0","","","59.0","","","349117.0",""
"33299.0","8.0","33292.0","3304.0","","Week 60","","","9524.0","","","60.0","","","358641.0",""
"33306.0","9.0","33299.0","2946.0","","Week 61","","","8996.0","","","61.0","","","367637.0",""
"33313.0","10.0","33306.0","2673.0","","Week 62","","","8382.0","","","62.0","","","376019.0",""
"33320.0","11.0","33313.0","2618.0","","Week 63","","","8553.0","","","63.0","","","384572.0",""
"33327.0","12.0","33320.0","3281.0","","Week 64","","","9455.0","","","64.0","","","394027.0",""
"33334.0","13.0","33327.0","4131.0","","Week 65","","","9384.0","","","65.0","","","403411.0",""
"33341.0","14.0","33334.0","3445.0","","Week 66","","","8620.0","","","66.0","","","412031.0",""
"33348.0","15.0","33341.0","3395.0","","Week 67","","","7873.0","","","67.0","","","419904.0",""
"33355.0","16.0","33348.0","3456.0","","Week 68","","","9652.0","","","68.0","","","429556.0",""
"33362.0","17.0","33355.0","3179.0","","Week 69","","","11090.0","","","69.0","","","440646.0",""
"33369.0","18.0","33362.0","3152.0","","Week 70","","","9739.0","","","70.0","","","450385.0",""
"33376.0","19.0","33369.0","3043.0","","Week 71","","","8803.0","","","71.0","","","459188.0",""
"33383.0","20.0","33376.0","3977.0","","Week 72","","","8297.0","","","72.0","","","467485.0",""
"33390.0","21.0","33383.0","3737.0","","Week 73","","","8310.0","","","73.0","","","475795.0",""
"33397.0","22.0","33390.0","3280.0","","Week 74","","","7936.0","","","74.0","","","483731.0",""
"33404.0","23.0","33397.0","3185.0","","Week 75","","","8219.0","","","75.0","","","491950.0",""
"33411.0","24.0","33404.0","2953.0","","Week 76","","","8837.0","","","76.0","","","500787.0",""
"33418.0","25.0","33411.0","3108.0","","Week 77","","","8144.0","","","77.0","","","508931.0",""
"33425.0","26.0","33418.0","4304.0","","Week 78","","","9748.0","","","78.0","","","518679.0",""
"33432.0","27.0","33425.0","3468.0","","Week 79","","","9230.0","","","79.0","","","527909.0",""
"33439.0","28.0","33432.0","3102.0","","Week 80","","","8631.0","","","80.0","","","536540.0",""
"33446.0","29.0","33439.0","3298.0","","Week 81","","","8128.0","","","81.0","","","544668.0",""
"33453.0","30.0","33446.0","3200.0","","","","","","","","","","","",""
"33460.0","31.0","33453.0","2951.0","","","","","","","","","","","",""
"33467.0","32.0","33460.0","2788.0","","","","","","","","","","","",""
"33474.0","33.0","33467.0","3279.0","","","","","","","","","","","",""
"33481.0","34.0","33474.0","2618.0","","","","","","","","","","","",""
"33488.0","35.0","33481.0","2865.0","","","","","","","","","","","",""
"33495.0","36.0","33488.0","2878.0","","","","","","","","","","","",""
"33502.0","37.0","33495.0","2961.0","","","","","","","","","","","",""
"33509.0","38.0","33502.0","3054.0","","","","","","","","","","","",""
"33516.0","39.0","33509.0","3026.0","","","","","","","","","","","",""
"33523.0","40.0","33516.0","2475.0","","","","","","","","","","","",""
"33530.0","41.0","33523.0","2883.0","","","","","","","","","","","",""
"33537.0","42.0","33530.0","2810.0","","","","","","","","","","","",""
"33544.0","43.0","33537.0","3286.0","","","","","","","","","","","",""
"33551.0","44.0","33544.0","3072.0","","","","","","","","","","","",""
"33558.0","45.0","33551.0","3819.0","","","","","","","","","","","",""
"33565.0","46.0","33558.0","2537.0","","","","","","","","","","","",""
"33572.0","47.0","33565.0","3303.0","","","","","","","","","","","",""
"33579.0","48.0","33572.0","3389.0","","","","","","","","","","","",""
"33586.0","49.0","33579.0","3083.0","","","","","","","","","","","",""
"33593.0","50.0","33586.0","2667.0","","","","","","","","","","","",""
"33600.0","51.0","33593.0","2863.0","","","","","","","","","","","",""
"33607.0","52.0","33600.0","4448.0","","","","","","","","","","","",""
"33614.0","1.0","33607.0","3601.0","","","","","","","","","","","",""
"33621.0","2.0","33614.0","3151.0","","","","","","","","","","","",""
"33628.0","3.0","33621.0","3086.0","","","","","","","","","","","",""
"33635.0","4.0","33628.0","3310.0","","","","","","","","","","","",""
"33642.0","5.0","33635.0","3208.0","","","","","","","","","","","",""
"33649.0","6.0","33642.0","2772.0","","","","","","","","","","","",""
"33656.0","7.0","33649.0","3292.0","","","","","","","","","","","",""
"33663.0","8.0","33656.0","3688.0","","","","","","","","","","","",""
"33670.0","9.0","33663.0","2799.0","","","","","","","","","","","",""
"33677.0","10.0","33670.0","2846.0","","","","","","","","","","","",""
"33684.0","11.0","33677.0","2669.0","","","","","","","","","","","",""
"33691.0","12.0","33684.0","3461.0","","","","","","","","","","","",""
"33698.0","13.0","33691.0","3977.0","","","","","","","","","","","",""
"33705.0","14.0","33698.0","3156.0","","","","","","","","","","","",""
"33712.0","15.0","33705.0","3237.0","","","","","","","","","","","",""
"33719.0","16.0","33712.0","2881.0","","","","","","","","","","","",""
"33726.0","17.0","33719.0","2873.0","","","","","","","","","","","",""
"33733.0","18.0","33726.0","3703.0","","","","","","","","","","","",""
"33740.0","19.0","33733.0","3026.0","","","","","","","","","","","",""
"33747.0","20.0","33740.0","2594.0","","","","","","","","","","","",""
"33754.0","21.0","33747.0","3817.0","","","","","","","","","","","",""
"33761.0","22.0","33754.0","3039.0","","","","","","","","","","","",""
"33768.0","23.0","33761.0","2779.0","","","","","","","","","","","",""
"33775.0","24.0","33768.0","2939.0","","","","","","","","","","","",""
"33782.0","25.0","33775.0","2953.0","","","","","","","","","","","",""
"33789.0","26.0","33782.0","4491.0","","","","","","","","","","","",""
"33796.0","27.0","33789.0","3429.0","","","","","","","","","","","",""
"33803.0","28.0","33796.0","3222.0","","","","","","","","","","","",""
