"Report date","Week #","Week ","CT","","Week","1990 Recession","2001 Recession","Great Recession","COVID-19","","Week","1990 Recession","2001 Recession","Great Recession","COVID-19"
"32886.0","1.0","32879.0","12992.0","","Week 1","5460.0","4679.0","6971.0","25100.0","","1.0","5460.0","4679.0","6971.0","25100.0"
"32893.0","2.0","32886.0","6886.0","","Week 2","6648.0","4443.0","9323.0","33227.0","","2.0","12108.0","9122.0","16294.0","58327.0"
"32900.0","3.0","32893.0","7951.0","","Week 3","5367.0","4173.0","9475.0","33464.0","","3.0","17475.0","13295.0","25769.0","91791.0"
"32907.0","4.0","32900.0","5583.0","","Week 4","5124.0","3116.0","9182.0","34050.0","","4.0","22599.0","16411.0","34951.0","125841.0"
"32914.0","5.0","32907.0","5376.0","","Week 5","4397.0","5466.0","5377.0","102808.0","","5.0","26996.0","21877.0","40328.0","228649.0"
"32921.0","6.0","32914.0","5526.0","","Week 6","3904.0","5152.0","4300.0","33041.0","","6.0","30900.0","27029.0","44628.0","261690.0"
"32928.0","7.0","32921.0","4360.0","","Week 7","3911.0","3906.0","4234.0","36138.0","","7.0","34811.0","30935.0","48862.0","297828.0"
"32935.0","8.0","32928.0","5460.0","","Week 8","4066.0","3512.0","4042.0","30046.0","","8.0","38877.0","34447.0","52904.0","327874.0"
"32942.0","9.0","32935.0","4844.0","","Week 9","4081.0","3386.0","3570.0","25960.0","","9.0","42958.0","37833.0","56474.0","353834.0"
"32949.0","10.0","32942.0","4644.0","","Week 10","3927.0","4505.0","5563.0","16603.0","","10.0","46885.0","42338.0","62037.0","370437.0"
"32956.0","11.0","32949.0","3858.0","","Week 11","4471.0","4520.0","6082.0","14208.0","","11.0","51356.0","46858.0","68119.0","384645.0"
"32963.0","12.0","32956.0","4259.0","","Week 12","4430.0","4513.0","3854.0","15366.0","","12.0","55786.0","51371.0","71973.0","400011.0"
"32970.0","13.0","32963.0","5292.0","","Week 13","4494.0","3877.0","3309.0","11852.0","","13.0","60280.0","55248.0","75282.0","411863.0"
"32977.0","14.0","32970.0","4363.0","","Week 14","4894.0","4701.0","2845.0","10411.0","","14.0","65174.0","59949.0","78127.0","422274.0"
"32984.0","15.0","32977.0","6007.0","","Week 15","4653.0","6629.0","3385.0","10133.0","","15.0","69827.0","66578.0","81512.0","432407.0"
"32991.0","16.0","32984.0","4240.0","","Week 16","4719.0","6114.0","3497.0","12267.0","","16.0","74546.0","72692.0","85009.0","444674.0"
"32998.0","17.0","32991.0","4496.0","","Week 17","5347.0","5440.0","3734.0","9955.0","","17.0","79893.0","78132.0","88743.0","454629.0"
"33005.0","18.0","32998.0","4219.0","","Week 18","4824.0","5261.0","6620.0","11667.0","","18.0","84717.0","83393.0","95363.0","466296.0"
"33012.0","19.0","33005.0","3765.0","","Week 19","5367.0","4809.0","5197.0","11181.0","","19.0","90084.0","88202.0","100560.0","477477.0"
"33019.0","20.0","33012.0","4392.0","","Week 20","5192.0","3948.0","3814.0","10537.0","","20.0","95276.0","92150.0","104374.0","488014.0"
"33026.0","21.0","33019.0","3690.0","","Week 21","6855.0","4380.0","3428.0","7431.0","","21.0","102131.0","96530.0","107802.0","495445.0"
"33033.0","22.0","33026.0","4601.0","","Week 22","7152.0","4874.0","3573.0","9432.0","","22.0","109283.0","101404.0","111375.0","504877.0"
"33040.0","23.0","33033.0","4334.0","","Week 23","10168.0","4102.0","3629.0","6269.0","","23.0","119451.0","105506.0","115004.0","511146.0"
"33047.0","24.0","33040.0","5730.0","","Week 24","7044.0","4169.0","2902.0","5404.0","","24.0","126495.0","109675.0","117906.0","516550.0"
"33054.0","25.0","33047.0","6104.0","","Week 25","7397.0","3828.0","3611.0","4741.0","","25.0","133892.0","113503.0","121517.0","521291.0"
"33061.0","26.0","33054.0","6687.0","","Week 26","14189.0","3463.0","3646.0","5175.0","","26.0","148081.0","116966.0","125163.0","526466.0"
"33068.0","27.0","33061.0","7105.0","","Week 27","12890.0","4131.0","5002.0","5141.0","","27.0","160971.0","121097.0","130165.0","531607.0"
"33075.0","28.0","33068.0","5460.0","","Week 28","10608.0","4407.0","6630.0","5015.0","","28.0","171579.0","125504.0","136795.0","536622.0"
"33082.0","29.0","33075.0","6648.0","","Week 29","7823.0","4490.0","5326.0","4617.0","","29.0","179402.0","129994.0","142121.0","541239.0"
"33089.0","30.0","33082.0","5367.0","","Week 30","7724.0","4731.0","5134.0","4734.0","","30.0","187126.0","134725.0","147255.0","545973.0"
"33096.0","31.0","33089.0","5124.0","","Week 31","6633.0","4637.0","4311.0","4395.0","","31.0","193759.0","139362.0","151566.0","550368.0"
"33103.0","32.0","33096.0","4397.0","","Week 32","6460.0","4122.0","4071.0","6016.0","","32.0","200219.0","143484.0","155637.0","556384.0"
"33110.0","33.0","33103.0","3904.0","","Week 33","6558.0","4465.0","4180.0","4878.0","","33.0","206777.0","147949.0","159817.0","561262.0"
"33117.0","34.0","33110.0","3911.0","","Week 34","5946.0","4713.0","4308.0","5126.0","","34.0","212723.0","152662.0","164125.0","566388.0"
"33124.0","35.0","33117.0","4066.0","","Week 35","5312.0","4910.0","4268.0","5584.0","","35.0","218035.0","157572.0","168393.0","571972.0"
"33131.0","36.0","33124.0","4081.0","","Week 36","5332.0","4722.0","4498.0","6641.0","","36.0","223367.0","162294.0","172891.0","578613.0"
"33138.0","37.0","33131.0","3927.0","","Week 37","4426.0","5830.0","6106.0","5949.0","","37.0","227793.0","168124.0","178997.0","584562.0"
"33145.0","38.0","33138.0","4471.0","","Week 38","5928.0","","4382.0","7796.0","","38.0","233721.0","","183379.0","592358.0"
"33152.0","39.0","33145.0","4430.0","","Week 39","","","4154.0","8383.0","","39.0","","","187533.0","600741.0"
"33159.0","40.0","33152.0","4494.0","","Week 40","","","3651.0","7588.0","","40.0","","","191184.0","608329.0"
"33166.0","41.0","33159.0","4894.0","","Week 41","","","3407.0","8748.0","","41.0","","","194591.0","617077.0"
"33173.0","42.0","33166.0","4653.0","","Week 42","","","4184.0","9342.0","","42.0","","","198775.0","626419.0"
"33180.0","43.0","33173.0","4719.0","","Week 43","","","4498.0","","","43.0","","","203273.0",""
"33187.0","44.0","33180.0","5347.0","","Week 44","","","3516.0","","","44.0","","","206789.0",""
"33194.0","45.0","33187.0","4824.0","","Week 45","","","4643.0","","","45.0","","","211432.0",""
"33201.0","46.0","33194.0","5367.0","","Week 46","","","5072.0","","","46.0","","","216504.0",""
"33208.0","47.0","33201.0","5192.0","","Week 47","","","5227.0","","","47.0","","","221731.0",""
"33215.0","48.0","33208.0","6855.0","","Week 48","","","4521.0","","","48.0","","","226252.0",""
"33222.0","49.0","33215.0","7152.0","","Week 49","","","6042.0","","","49.0","","","232294.0",""
"33229.0","50.0","33222.0","10168.0","","Week 50","","","5737.0","","","50.0","","","238031.0",""
"33236.0","51.0","33229.0","7044.0","","Week 51","","","7492.0","","","51.0","","","245523.0",""
"33243.0","52.0","33236.0","7397.0","","Week 52","","","8778.0","","","52.0","","","254301.0",""
"33250.0","1.0","33243.0","14189.0","","Week 53","","","7607.0","","","53.0","","","261908.0",""
"33257.0","2.0","33250.0","12890.0","","Week 54","","","7294.0","","","54.0","","","269202.0",""
"33264.0","3.0","33257.0","10608.0","","Week 55","","","8782.0","","","55.0","","","277984.0",""
"33271.0","4.0","33264.0","7823.0","","Week 56","","","13023.0","","","56.0","","","291007.0",""
"33278.0","5.0","33271.0","7724.0","","Week 57","","","11301.0","","","57.0","","","302308.0",""
"33285.0","6.0","33278.0","6633.0","","Week 58","","","9586.0","","","58.0","","","311894.0",""
"33292.0","7.0","33285.0","6460.0","","Week 59","","","8586.0","","","59.0","","","320480.0",""
"33299.0","8.0","33292.0","6558.0","","Week 60","","","7319.0","","","60.0","","","327799.0",""
"33306.0","9.0","33299.0","5946.0","","Week 61","","","6690.0","","","61.0","","","334489.0",""
"33313.0","10.0","33306.0","5312.0","","Week 62","","","8878.0","","","62.0","","","343367.0",""
"33320.0","11.0","33313.0","5332.0","","Week 63","","","8467.0","","","63.0","","","351834.0",""
"33327.0","12.0","33320.0","4426.0","","Week 64","","","6213.0","","","64.0","","","358047.0",""
