"Report date","Week #","Week ","DC","","Week","1990 Recession","2001 Recession","Great Recession","COVID-19","","Week","1990 Recession","2001 Recession","Great Recession","COVID-19"
"32886.0","1.0","32879.0","1159.0","","Week 1","909.0","284.0","424.0","14462.0","","1.0","909.0","284.0","424.0","14462.0"
"32893.0","2.0","32886.0","795.0","","Week 2","772.0","247.0","204.0","15869.0","","2.0","1681.0","531.0","628.0","30331.0"
"32900.0","3.0","32893.0","692.0","","Week 3","1064.0","346.0","267.0","15329.0","","3.0","2745.0","877.0","895.0","45660.0"
"32907.0","4.0","32900.0","784.0","","Week 4","512.0","315.0","427.0","9974.0","","4.0","3257.0","1192.0","1322.0","55634.0"
"32914.0","5.0","32907.0","802.0","","Week 5","1169.0","325.0","368.0","8639.0","","5.0","4426.0","1517.0","1690.0","64273.0"
"32921.0","6.0","32914.0","590.0","","Week 6","678.0","281.0","306.0","8708.0","","6.0","5104.0","1798.0","1996.0","72981.0"
"32928.0","7.0","32921.0","751.0","","Week 7","667.0","338.0","359.0","8113.0","","7.0","5771.0","2136.0","2355.0","81094.0"
"32935.0","8.0","32928.0","599.0","","Week 8","600.0","402.0","284.0","5782.0","","8.0","6371.0","2538.0","2639.0","86876.0"
"32942.0","9.0","32935.0","778.0","","Week 9","864.0","416.0","274.0","5196.0","","9.0","7235.0","2954.0","2913.0","92072.0"
"32949.0","10.0","32942.0","641.0","","Week 10","760.0","388.0","238.0","5135.0","","10.0","7995.0","3342.0","3151.0","97207.0"
"32956.0","11.0","32949.0","689.0","","Week 11","682.0","277.0","294.0","3559.0","","11.0","8677.0","3619.0","3445.0","100766.0"
"32963.0","12.0","32956.0","509.0","","Week 12","761.0","387.0","299.0","3385.0","","12.0","9438.0","4006.0","3744.0","104151.0"
"32970.0","13.0","32963.0","698.0","","Week 13","755.0","236.0","273.0","3065.0","","13.0","10193.0","4242.0","4017.0","107216.0"
"32977.0","14.0","32970.0","728.0","","Week 14","789.0","416.0","299.0","3073.0","","14.0","10982.0","4658.0","4316.0","110289.0"
"32984.0","15.0","32977.0","552.0","","Week 15","1055.0","410.0","273.0","3132.0","","15.0","12037.0","5068.0","4589.0","113421.0"
"32991.0","16.0","32984.0","617.0","","Week 16","920.0","327.0","321.0","2858.0","","16.0","12957.0","5395.0","4910.0","116279.0"
"32998.0","17.0","32991.0","649.0","","Week 17","793.0","460.0","343.0","3300.0","","17.0","13750.0","5855.0","5253.0","119579.0"
"33005.0","18.0","32998.0","594.0","","Week 18","716.0","446.0","271.0","3053.0","","18.0","14466.0","6301.0","5524.0","122632.0"
"33012.0","19.0","33005.0","655.0","","Week 19","988.0","494.0","317.0","2712.0","","19.0","15454.0","6795.0","5841.0","125344.0"
"33019.0","20.0","33012.0","859.0","","Week 20","1010.0","388.0","333.0","2250.0","","20.0","16464.0","7183.0","6174.0","127594.0"
"33026.0","21.0","33019.0","474.0","","Week 21","939.0","468.0","347.0","1797.0","","21.0","17403.0","7651.0","6521.0","129391.0"
"33033.0","22.0","33026.0","738.0","","Week 22","886.0","371.0","366.0","1979.0","","22.0","18289.0","8022.0","6887.0","131370.0"
"33040.0","23.0","33033.0","712.0","","Week 23","1057.0","362.0","346.0","1645.0","","23.0","19346.0","8384.0","7233.0","133015.0"
"33047.0","24.0","33040.0","674.0","","Week 24","947.0","384.0","294.0","1468.0","","24.0","20293.0","8768.0","7527.0","134483.0"
"33054.0","25.0","33047.0","898.0","","Week 25","811.0","289.0","405.0","1493.0","","25.0","21104.0","9057.0","7932.0","135976.0"
"33061.0","26.0","33054.0","642.0","","Week 26","960.0","335.0","372.0","1460.0","","26.0","22064.0","9392.0","8304.0","137436.0"
"33068.0","27.0","33061.0","1029.0","","Week 27","1510.0","540.0","492.0","1549.0","","27.0","23574.0","9932.0","8796.0","138985.0"
"33075.0","28.0","33068.0","909.0","","Week 28","1171.0","544.0","405.0","1889.0","","28.0","24745.0","10476.0","9201.0","140874.0"
"33082.0","29.0","33075.0","772.0","","Week 29","1286.0","974.0","437.0","1489.0","","29.0","26031.0","11450.0","9638.0","142363.0"
"33089.0","30.0","33082.0","1064.0","","Week 30","1008.0","798.0","499.0","","","30.0","27039.0","12248.0","10137.0",""
"33096.0","31.0","33089.0","512.0","","Week 31","1081.0","675.0","413.0","","","31.0","28120.0","12923.0","10550.0",""
"33103.0","32.0","33096.0","1169.0","","Week 32","667.0","405.0","419.0","","","32.0","28787.0","13328.0","10969.0",""
"33110.0","33.0","33103.0","678.0","","Week 33","1089.0","317.0","423.0","","","33.0","29876.0","13645.0","11392.0",""
"33117.0","34.0","33110.0","667.0","","Week 34","957.0","307.0","450.0","","","34.0","30833.0","13952.0","11842.0",""
"33124.0","35.0","33117.0","600.0","","Week 35","1193.0","252.0","415.0","","","35.0","32026.0","14204.0","12257.0",""
"33131.0","36.0","33124.0","864.0","","Week 36","587.0","315.0","369.0","","","36.0","32613.0","14519.0","12626.0",""
"33138.0","37.0","33131.0","760.0","","Week 37","886.0","327.0","351.0","","","37.0","33499.0","14846.0","12977.0",""
"33145.0","38.0","33138.0","682.0","","Week 38","860.0","","366.0","","","38.0","34359.0","","13343.0",""
"33152.0","39.0","33145.0","761.0","","Week 39","","","375.0","","","39.0","","","13718.0",""
"33159.0","40.0","33152.0","755.0","","Week 40","","","320.0","","","40.0","","","14038.0",""
"33166.0","41.0","33159.0","789.0","","Week 41","","","654.0","","","41.0","","","14692.0",""
"33173.0","42.0","33166.0","1055.0","","Week 42","","","453.0","","","42.0","","","15145.0",""
"33180.0","43.0","33173.0","920.0","","Week 43","","","500.0","","","43.0","","","15645.0",""
"33187.0","44.0","33180.0","793.0","","Week 44","","","454.0","","","44.0","","","16099.0",""
"33194.0","45.0","33187.0","716.0","","Week 45","","","469.0","","","45.0","","","16568.0",""
"33201.0","46.0","33194.0","988.0","","Week 46","","","436.0","","","46.0","","","17004.0",""
"33208.0","47.0","33201.0","1010.0","","Week 47","","","501.0","","","47.0","","","17505.0",""
