"Report date","Week #","Week ","GA","","Week","1990 Recession","2001 Recession","Great Recession","COVID-19","","Week","1990 Recession","2001 Recession","Great Recession","COVID-19"
"32886.0","1.0","32879.0","27472.0","","Week 1","14580.0","9726.0","9158.0","12140.0","","1.0","14580.0","9726.0","9158.0","12140.0"
"32893.0","2.0","32886.0","14130.0","","Week 2","8180.0","9193.0","9969.0","133820.0","","2.0","22760.0","18919.0","19127.0","145960.0"
"32900.0","3.0","32893.0","8321.0","","Week 3","7356.0","12405.0","24074.0","390132.0","","3.0","30116.0","31324.0","43201.0","536092.0"
"32907.0","4.0","32900.0","10812.0","","Week 4","8109.0","10499.0","19216.0","319581.0","","4.0","38225.0","41823.0","62417.0","855673.0"
"32914.0","5.0","32907.0","8585.0","","Week 5","8627.0","10050.0","10887.0","247003.0","","5.0","46852.0","51873.0","73304.0","1102676.0"
"32921.0","6.0","32914.0","8211.0","","Week 6","7701.0","11853.0","9242.0","266565.0","","6.0","54553.0","63726.0","82546.0","1369241.0"
"32928.0","7.0","32921.0","7504.0","","Week 7","9406.0","12763.0","9758.0","228352.0","","7.0","63959.0","76489.0","92304.0","1597593.0"
"32935.0","8.0","32928.0","8803.0","","Week 8","9758.0","12657.0","10767.0","242772.0","","8.0","73717.0","89146.0","103071.0","1840365.0"
"32942.0","9.0","32935.0","8521.0","","Week 9","9081.0","10681.0","8849.0","177731.0","","9.0","82798.0","99827.0","111920.0","2018096.0"
"32949.0","10.0","32942.0","7177.0","","Week 10","9388.0","9796.0","9915.0","165499.0","","10.0","92186.0","109623.0","121835.0","2183595.0"
"32956.0","11.0","32949.0","8367.0","","Week 11","7176.0","10252.0","9640.0","149163.0","","11.0","99362.0","119875.0","131475.0","2332758.0"
"32963.0","12.0","32956.0","7823.0","","Week 12","8499.0","13551.0","10527.0","135254.0","","12.0","107861.0","133426.0","142002.0","2468012.0"
"32970.0","13.0","32963.0","8374.0","","Week 13","7149.0","10960.0","8665.0","131997.0","","13.0","115010.0","144386.0","150667.0","2600009.0"
"32977.0","14.0","32970.0","8884.0","","Week 14","8568.0","11258.0","10146.0","125725.0","","14.0","123578.0","155644.0","160813.0","2725734.0"
"32984.0","15.0","32977.0","6847.0","","Week 15","10090.0","9705.0","9929.0","117485.0","","15.0","133668.0","165349.0","170742.0","2843219.0"
"32991.0","16.0","32984.0","5643.0","","Week 16","8822.0","11740.0","14235.0","105160.0","","16.0","142490.0","177089.0","184977.0","2948379.0"
"32998.0","17.0","32991.0","7651.0","","Week 17","9861.0","22797.0","12999.0","138452.0","","17.0","152351.0","199886.0","197976.0","3086831.0"
"33005.0","18.0","32998.0","6718.0","","Week 18","10417.0","14499.0","10867.0","122313.0","","18.0","162768.0","214385.0","208843.0","3209144.0"
"33012.0","19.0","33005.0","6837.0","","Week 19","6333.0","12313.0","11883.0","84984.0","","19.0","169101.0","226698.0","220726.0","3294128.0"
"33019.0","20.0","33012.0","6162.0","","Week 20","17022.0","10213.0","8948.0","73931.0","","20.0","186123.0","236911.0","229674.0","3368059.0"
"33026.0","21.0","33019.0","6797.0","","Week 21","14835.0","12915.0","11150.0","62335.0","","21.0","200958.0","249826.0","240824.0","3430394.0"
"33033.0","22.0","33026.0","8344.0","","Week 22","10459.0","9640.0","9613.0","58099.0","","22.0","211417.0","259466.0","250437.0","3488493.0"
"33040.0","23.0","33033.0","7547.0","","Week 23","8368.0","8941.0","10778.0","56768.0","","23.0","219785.0","268407.0","261215.0","3545261.0"
"33047.0","24.0","33040.0","7016.0","","Week 24","9749.0","8548.0","9541.0","51283.0","","24.0","229534.0","276955.0","270756.0","3596544.0"
"33054.0","25.0","33047.0","5882.0","","Week 25","16874.0","9042.0","14993.0","50320.0","","25.0","246408.0","285997.0","285749.0","3646864.0"
"33061.0","26.0","33054.0","11171.0","","Week 26","30262.0","10364.0","9910.0","42085.0","","26.0","276670.0","296361.0","295659.0","3688949.0"
"33068.0","27.0","33061.0","11148.0","","Week 27","22970.0","9837.0","10169.0","49421.0","","27.0","299640.0","306198.0","305828.0","3738370.0"
"33075.0","28.0","33068.0","14580.0","","Week 28","17036.0","12869.0","8287.0","43526.0","","28.0","316676.0","319067.0","314115.0","3781896.0"
"33082.0","29.0","33075.0","8180.0","","Week 29","17615.0","12522.0","10036.0","44874.0","","29.0","334291.0","331589.0","324151.0","3826770.0"
"33089.0","30.0","33082.0","7356.0","","Week 30","13735.0","14295.0","17036.0","54166.0","","30.0","348026.0","345884.0","341187.0","3880936.0"
"33096.0","31.0","33089.0","8109.0","","Week 31","13403.0","13070.0","12689.0","44892.0","","31.0","361429.0","358954.0","353876.0","3925828.0"
"33103.0","32.0","33096.0","8627.0","","Week 32","13931.0","16232.0","11259.0","43695.0","","32.0","375360.0","375186.0","365135.0","3969523.0"
"33110.0","33.0","33103.0","7701.0","","Week 33","14464.0","13496.0","13056.0","37253.0","","33.0","389824.0","388682.0","378191.0","4006776.0"
"33117.0","34.0","33110.0","9406.0","","Week 34","10453.0","12942.0","16578.0","23827.0","","34.0","400277.0","401624.0","394769.0","4030603.0"
"33124.0","35.0","33117.0","9758.0","","Week 35","10799.0","12442.0","13675.0","19626.0","","35.0","411076.0","414066.0","408444.0","4050229.0"
"33131.0","36.0","33124.0","9081.0","","Week 36","11232.0","7947.0","11446.0","29088.0","","36.0","422308.0","422013.0","419890.0","4079317.0"
"33138.0","37.0","33131.0","9388.0","","Week 37","8621.0","23296.0","12890.0","19183.0","","37.0","430929.0","445309.0","432780.0","4098500.0"
"33145.0","38.0","33138.0","7176.0","","Week 38","9697.0","","12488.0","32371.0","","38.0","440626.0","","445268.0","4130871.0"
"33152.0","39.0","33145.0","8499.0","","Week 39","","","13232.0","","","39.0","","","458500.0",""
"33159.0","40.0","33152.0","7149.0","","Week 40","","","11934.0","","","40.0","","","470434.0",""
"33166.0","41.0","33159.0","8568.0","","Week 41","","","12002.0","","","41.0","","","482436.0",""
"33173.0","42.0","33166.0","10090.0","","Week 42","","","14855.0","","","42.0","","","497291.0",""
"33180.0","43.0","33173.0","8822.0","","Week 43","","","16220.0","","","43.0","","","513511.0",""
"33187.0","44.0","33180.0","9861.0","","Week 44","","","14328.0","","","44.0","","","527839.0",""
"33194.0","45.0","33187.0","10417.0","","Week 45","","","16916.0","","","45.0","","","544755.0",""
"33201.0","46.0","33194.0","6333.0","","Week 46","","","16945.0","","","46.0","","","561700.0",""
"33208.0","47.0","33201.0","17022.0","","Week 47","","","18149.0","","","47.0","","","579849.0",""
"33215.0","48.0","33208.0","14835.0","","Week 48","","","18288.0","","","48.0","","","598137.0",""
"33222.0","49.0","33215.0","10459.0","","Week 49","","","20610.0","","","49.0","","","618747.0",""
"33229.0","50.0","33222.0","8368.0","","Week 50","","","15566.0","","","50.0","","","634313.0",""
"33236.0","51.0","33229.0","9749.0","","Week 51","","","35803.0","","","51.0","","","670116.0",""
"33243.0","52.0","33236.0","16874.0","","Week 52","","","23750.0","","","52.0","","","693866.0",""
"33250.0","1.0","33243.0","30262.0","","Week 53","","","20225.0","","","53.0","","","714091.0",""
"33257.0","2.0","33250.0","22970.0","","Week 54","","","17123.0","","","54.0","","","731214.0",""
"33264.0","3.0","33257.0","17036.0","","Week 55","","","35431.0","","","55.0","","","766645.0",""
"33271.0","4.0","33264.0","17615.0","","Week 56","","","41522.0","","","56.0","","","808167.0",""
"33278.0","5.0","33271.0","13735.0","","Week 57","","","28887.0","","","57.0","","","837054.0",""
"33285.0","6.0","33278.0","13403.0","","Week 58","","","18938.0","","","58.0","","","855992.0",""
"33292.0","7.0","33285.0","13931.0","","Week 59","","","23330.0","","","59.0","","","879322.0",""
"33299.0","8.0","33292.0","14464.0","","Week 60","","","23317.0","","","60.0","","","902639.0",""
"33306.0","9.0","33299.0","10453.0","","Week 61","","","20350.0","","","61.0","","","922989.0",""
"33313.0","10.0","33306.0","10799.0","","Week 62","","","19680.0","","","62.0","","","942669.0",""
"33320.0","11.0","33313.0","11232.0","","Week 63","","","22993.0","","","63.0","","","965662.0",""
"33327.0","12.0","33320.0","8621.0","","Week 64","","","22565.0","","","64.0","","","988227.0",""
"33334.0","13.0","33327.0","9697.0","","Week 65","","","20406.0","","","65.0","","","1008633.0",""
"33341.0","14.0","33334.0","11682.0","","Week 66","","","20172.0","","","66.0","","","1028805.0",""
"33348.0","15.0","33341.0","7446.0","","Week 67","","","20882.0","","","67.0","","","1049687.0",""
"33355.0","16.0","33348.0","6526.0","","Week 68","","","23039.0","","","68.0","","","1072726.0",""
"33362.0","17.0","33355.0","8805.0","","Week 69","","","19441.0","","","69.0","","","1092167.0",""
"33369.0","18.0","33362.0","7878.0","","Week 70","","","22497.0","","","70.0","","","1114664.0",""
"33376.0","19.0","33369.0","8245.0","","Week 71","","","18323.0","","","71.0","","","1132987.0",""
"33383.0","20.0","33376.0","7492.0","","Week 72","","","15840.0","","","72.0","","","1148827.0",""
"33390.0","21.0","33383.0","6610.0","","Week 73","","","17341.0","","","73.0","","","1166168.0",""
"33397.0","22.0","33390.0","9094.0","","Week 74","","","18936.0","","","74.0","","","1185104.0",""
"33404.0","23.0","33397.0","7899.0","","Week 75","","","17972.0","","","75.0","","","1203076.0",""
"33411.0","24.0","33404.0","7847.0","","Week 76","","","17885.0","","","76.0","","","1220961.0",""
"33418.0","25.0","33411.0","7649.0","","Week 77","","","19577.0","","","77.0","","","1240538.0",""
"33425.0","26.0","33418.0","8359.0","","Week 78","","","19425.0","","","78.0","","","1259963.0",""
"33432.0","27.0","33425.0","10889.0","","Week 79","","","20466.0","","","79.0","","","1280429.0",""
"33439.0","28.0","33432.0","10620.0","","Week 80","","","18658.0","","","80.0","","","1299087.0",""
