"Report date","Week #","Week ","HI","","Week","1990 Recession","2001 Recession","Great Recession","COVID-19","","Week","1990 Recession","2001 Recession","Great Recession","COVID-19"
"32886.0","1.0","32879.0","1443.0","","Week 1","879.0","1249.0","1179.0","8817.0","","1.0","879.0","1249.0","1179.0","8817.0"
"32893.0","2.0","32886.0","1160.0","","Week 2","833.0","1144.0","984.0","48596.0","","2.0","1712.0","2393.0","2163.0","57413.0"
"32900.0","3.0","32893.0","2370.0","","Week 3","843.0","1995.0","1285.0","53102.0","","3.0","2555.0","4388.0","3448.0","110515.0"
"32907.0","4.0","32900.0","1394.0","","Week 4","827.0","5247.0","1912.0","34717.0","","4.0","3382.0","9635.0","5360.0","145232.0"
"32914.0","5.0","32907.0","994.0","","Week 5","583.0","3971.0","1410.0","26591.0","","5.0","3965.0","13606.0","6770.0","171823.0"
"32921.0","6.0","32914.0","881.0","","Week 6","684.0","3585.0","1264.0","22496.0","","6.0","4649.0","17191.0","8034.0","194319.0"
"32928.0","7.0","32921.0","673.0","","Week 7","682.0","2839.0","1363.0","15177.0","","7.0","5331.0","20030.0","9397.0","209496.0"
"32935.0","8.0","32928.0","1230.0","","Week 8","746.0","1945.0","1596.0","12329.0","","8.0","6077.0","21975.0","10993.0","221825.0"
"32942.0","9.0","32935.0","4891.0","","Week 9","845.0","1424.0","1469.0","10964.0","","9.0","6922.0","23399.0","12462.0","232789.0"
"32949.0","10.0","32942.0","2394.0","","Week 10","658.0","1346.0","1136.0","9140.0","","10.0","7580.0","24745.0","13598.0","241929.0"
"32956.0","11.0","32949.0","846.0","","Week 11","714.0","1430.0","1338.0","7702.0","","11.0","8294.0","26175.0","14936.0","249631.0"
"32963.0","12.0","32956.0","784.0","","Week 12","867.0","1586.0","1370.0","7338.0","","12.0","9161.0","27761.0","16306.0","256969.0"
"32970.0","13.0","32963.0","1381.0","","Week 13","847.0","1432.0","1227.0","7248.0","","13.0","10008.0","29193.0","17533.0","264217.0"
"32977.0","14.0","32970.0","911.0","","Week 14","794.0","1748.0","1042.0","7178.0","","14.0","10802.0","30941.0","18575.0","271395.0"
"32984.0","15.0","32977.0","1054.0","","Week 15","845.0","1306.0","1363.0","8193.0","","15.0","11647.0","32247.0","19938.0","279588.0"
"32991.0","16.0","32984.0","925.0","","Week 16","781.0","1595.0","2647.0","7648.0","","16.0","12428.0","33842.0","22585.0","287236.0"
"32998.0","17.0","32991.0","903.0","","Week 17","813.0","1791.0","1782.0","7668.0","","17.0","13241.0","35633.0","24367.0","294904.0"
"33005.0","18.0","32998.0","904.0","","Week 18","884.0","1411.0","1546.0","7581.0","","18.0","14125.0","37044.0","25913.0","302485.0"
"33012.0","19.0","33005.0","852.0","","Week 19","1428.0","1323.0","1483.0","6033.0","","19.0","15553.0","38367.0","27396.0","308518.0"
"33019.0","20.0","33012.0","808.0","","Week 20","1633.0","1567.0","1706.0","","","20.0","17186.0","39934.0","29102.0",""
"33026.0","21.0","33019.0","795.0","","Week 21","1003.0","1403.0","1451.0","","","21.0","18189.0","41337.0","30553.0",""
"33033.0","22.0","33026.0","1000.0","","Week 22","827.0","1217.0","1428.0","","","22.0","19016.0","42554.0","31981.0",""
"33040.0","23.0","33033.0","840.0","","Week 23","930.0","1394.0","1460.0","","","23.0","19946.0","43948.0","33441.0",""
"33047.0","24.0","33040.0","1003.0","","Week 24","1423.0","1358.0","1438.0","","","24.0","21369.0","45306.0","34879.0",""
"33054.0","25.0","33047.0","871.0","","Week 25","1414.0","1329.0","1923.0","","","25.0","22783.0","46635.0","36802.0",""
"33061.0","26.0","33054.0","1000.0","","Week 26","1688.0","1453.0","1383.0","","","26.0","24471.0","48088.0","38185.0",""
"33068.0","27.0","33061.0","906.0","","Week 27","1146.0","4088.0","1841.0","","","27.0","25617.0","52176.0","40026.0",""
"33075.0","28.0","33068.0","879.0","","Week 28","1189.0","5099.0","1546.0","","","28.0","26806.0","57275.0","41572.0",""
"33082.0","29.0","33075.0","833.0","","Week 29","1489.0","4052.0","1315.0","","","29.0","28295.0","61327.0","42887.0",""
"33089.0","30.0","33082.0","843.0","","Week 30","1713.0","3344.0","1672.0","","","30.0","30008.0","64671.0","44559.0",""
"33096.0","31.0","33089.0","827.0","","Week 31","1499.0","2635.0","1819.0","","","31.0","31507.0","67306.0","46378.0",""
"33103.0","32.0","33096.0","583.0","","Week 32","1462.0","3024.0","1607.0","","","32.0","32969.0","70330.0","47985.0",""
"33110.0","33.0","33103.0","684.0","","Week 33","1501.0","2707.0","1765.0","","","33.0","34470.0","73037.0","49750.0",""
"33117.0","34.0","33110.0","682.0","","Week 34","1632.0","2670.0","1640.0","","","34.0","36102.0","75707.0","51390.0",""
"33124.0","35.0","33117.0","746.0","","Week 35","1446.0","2661.0","1416.0","","","35.0","37548.0","78368.0","52806.0",""
"33131.0","36.0","33124.0","845.0","","Week 36","1796.0","1805.0","1719.0","","","36.0","39344.0","80173.0","54525.0",""
"33138.0","37.0","33131.0","658.0","","Week 37","1453.0","2550.0","1802.0","","","37.0","40797.0","82723.0","56327.0",""
"33145.0","38.0","33138.0","714.0","","Week 38","1554.0","","1888.0","","","38.0","42351.0","","58215.0",""
"33152.0","39.0","33145.0","867.0","","Week 39","","","2122.0","","","39.0","","","60337.0",""
"33159.0","40.0","33152.0","847.0","","Week 40","","","1926.0","","","40.0","","","62263.0",""
"33166.0","41.0","33159.0","794.0","","Week 41","","","2006.0","","","41.0","","","64269.0",""
"33173.0","42.0","33166.0","845.0","","Week 42","","","2092.0","","","42.0","","","66361.0",""
"33180.0","43.0","33173.0","781.0","","Week 43","","","2092.0","","","43.0","","","68453.0",""
"33187.0","44.0","33180.0","813.0","","Week 44","","","2052.0","","","44.0","","","70505.0",""
"33194.0","45.0","33187.0","884.0","","Week 45","","","2128.0","","","45.0","","","72633.0",""
"33201.0","46.0","33194.0","1428.0","","Week 46","","","2135.0","","","46.0","","","74768.0",""
