"Report date","Week #","Week ","KY","","Week","1990 Recession","2001 Recession","Great Recession","COVID-19","","Week","1990 Recession","2001 Recession","Great Recession","COVID-19"
"32886.0","1.0","32879.0","11843.0","","Week 1","6844.0","5377.0","14012.0","49023.0","","1.0","6844.0","5377.0","14012.0","49023.0"
"32893.0","2.0","32886.0","8297.0","","Week 2","4937.0","4220.0","14612.0","113149.0","","2.0","11781.0","9597.0","28624.0","162172.0"
"32900.0","3.0","32893.0","6366.0","","Week 3","5227.0","4708.0","8743.0","117575.0","","3.0","17008.0","14305.0","37367.0","279747.0"
"32907.0","4.0","32900.0","5737.0","","Week 4","4565.0","5017.0","9065.0","116277.0","","4.0","21573.0","19322.0","46432.0","396024.0"
"32914.0","5.0","32907.0","5966.0","","Week 5","4601.0","5171.0","6160.0","103981.0","","5.0","26174.0","24493.0","52592.0","500005.0"
"32921.0","6.0","32914.0","5906.0","","Week 6","3695.0","4035.0","5638.0","91223.0","","6.0","29869.0","28528.0","58230.0","591228.0"
"32928.0","7.0","32921.0","4261.0","","Week 7","3902.0","4271.0","5493.0","82435.0","","7.0","33771.0","32799.0","63723.0","673663.0"
"32935.0","8.0","32928.0","5030.0","","Week 8","4501.0","5210.0","9659.0","69372.0","","8.0","38272.0","38009.0","73382.0","743035.0"
"32942.0","9.0","32935.0","4757.0","","Week 9","5398.0","5107.0","4950.0","47321.0","","9.0","43670.0","43116.0","78332.0","790356.0"
"32949.0","10.0","32942.0","4927.0","","Week 10","4786.0","4868.0","4920.0","53738.0","","10.0","48456.0","47984.0","83252.0","844094.0"
"32956.0","11.0","32949.0","3840.0","","Week 11","5380.0","7796.0","5635.0","43013.0","","11.0","53836.0","55780.0","88887.0","887107.0"
"32963.0","12.0","32956.0","4457.0","","Week 12","5968.0","7688.0","5345.0","40733.0","","12.0","59804.0","63468.0","94232.0","927840.0"
"32970.0","13.0","32963.0","5617.0","","Week 13","5229.0","5795.0","5166.0","37650.0","","13.0","65033.0","69263.0","99398.0","965490.0"
"32977.0","14.0","32970.0","3680.0","","Week 14","4876.0","3786.0","4667.0","24846.0","","14.0","69909.0","73049.0","104065.0","990336.0"
"32984.0","15.0","32977.0","5127.0","","Week 15","6123.0","6875.0","7507.0","30640.0","","15.0","76032.0","79924.0","111572.0","1020976.0"
"32991.0","16.0","32984.0","3789.0","","Week 16","13437.0","15246.0","7758.0","23282.0","","16.0","89469.0","95170.0","119330.0","1044258.0"
"32998.0","17.0","32991.0","3816.0","","Week 17","10459.0","8862.0","5256.0","24544.0","","17.0","99928.0","104032.0","124586.0","1068802.0"
