"Report date","Week #","Week ","MA","","Week","1990 Recession","2001 Recession","Great Recession","COVID-19","","Week","1990 Recession","2001 Recession","Great Recession","COVID-19"
"32886.0","1.0","32879.0","14239.0","","Week 1","9226.0","6397.0","12547.0","148452.0","","1.0","9226.0","6397.0","12547.0","148452.0"
"32893.0","2.0","32886.0","11131.0","","Week 2","8300.0","5963.0","16011.0","181423.0","","2.0","17526.0","12360.0","28558.0","329875.0"
"32900.0","3.0","32893.0","11292.0","","Week 3","8723.0","7187.0","13537.0","139647.0","","3.0","26249.0","19547.0","42095.0","469522.0"
"32907.0","4.0","32900.0","11380.0","","Week 4","8550.0","6285.0","10567.0","103813.0","","4.0","34799.0","25832.0","52662.0","573335.0"
"32914.0","5.0","32907.0","11016.0","","Week 5","8274.0","11499.0","8812.0","80969.0","","5.0","43073.0","37331.0","61474.0","654304.0"
"32921.0","6.0","32914.0","10042.0","","Week 6","8616.0","6875.0","8153.0","71358.0","","6.0","51689.0","44206.0","69627.0","725662.0"
"32928.0","7.0","32921.0","15489.0","","Week 7","8452.0","7186.0","7463.0","55884.0","","7.0","60141.0","51392.0","77090.0","781546.0"
"32935.0","8.0","32928.0","10289.0","","Week 8","9066.0","6686.0","7964.0","44915.0","","8.0","69207.0","58078.0","85054.0","826461.0"
"32942.0","9.0","32935.0","9982.0","","Week 9","8861.0","7468.0","7277.0","38684.0","","9.0","78068.0","65546.0","92331.0","865145.0"
"32949.0","10.0","32942.0","9024.0","","Week 10","9202.0","7459.0","11185.0","38332.0","","10.0","87270.0","73005.0","103516.0","903477.0"
"32956.0","11.0","32949.0","9205.0","","Week 11","8681.0","6415.0","7529.0","27630.0","","11.0","95951.0","79420.0","111045.0","931107.0"
"32963.0","12.0","32956.0","8219.0","","Week 12","10148.0","7510.0","7006.0","45142.0","","12.0","106099.0","86930.0","118051.0","976249.0"
"32970.0","13.0","32963.0","9493.0","","Week 13","9187.0","6842.0","6211.0","30411.0","","13.0","115286.0","93772.0","124262.0","1006660.0"
"32977.0","14.0","32970.0","8045.0","","Week 14","9880.0","9199.0","6480.0","30005.0","","14.0","125166.0","102971.0","130742.0","1036665.0"
"32984.0","15.0","32977.0","12256.0","","Week 15","9910.0","12407.0","6154.0","29699.0","","15.0","135076.0","115378.0","136896.0","1066364.0"
"32991.0","16.0","32984.0","8482.0","","Week 16","12671.0","13857.0","6437.0","27051.0","","16.0","147747.0","129235.0","143333.0","1093415.0"
"32998.0","17.0","32991.0","9199.0","","Week 17","12487.0","8108.0","6373.0","24131.0","","17.0","160234.0","137343.0","149706.0","1117546.0"
"33005.0","18.0","32998.0","9000.0","","Week 18","11226.0","7739.0","6064.0","18638.0","","18.0","171460.0","145082.0","155770.0","1136184.0"
"33012.0","19.0","33005.0","8665.0","","Week 19","18123.0","7409.0","11655.0","19646.0","","19.0","189583.0","152491.0","167425.0","1155830.0"
"33019.0","20.0","33012.0","9116.0","","Week 20","12385.0","7630.0","6628.0","15637.0","","20.0","201968.0","160121.0","174053.0","1171467.0"
"33026.0","21.0","33019.0","8937.0","","Week 21","14673.0","7719.0","6699.0","14181.0","","21.0","216641.0","167840.0","180752.0","1185648.0"
"33033.0","22.0","33026.0","8924.0","","Week 22","13801.0","6989.0","6757.0","","","22.0","230442.0","174829.0","187509.0",""
"33040.0","23.0","33033.0","8351.0","","Week 23","15852.0","6401.0","6665.0","","","23.0","246294.0","181230.0","194174.0",""
"33047.0","24.0","33040.0","13779.0","","Week 24","32951.0","7314.0","6258.0","","","24.0","279245.0","188544.0","200432.0",""
"33054.0","25.0","33047.0","12369.0","","Week 25","19022.0","7815.0","7267.0","","","25.0","298267.0","196359.0","207699.0",""
"33061.0","26.0","33054.0","15399.0","","Week 26","15813.0","6212.0","6743.0","","","26.0","314080.0","202571.0","214442.0",""
"33068.0","27.0","33061.0","11119.0","","Week 27","15240.0","8289.0","9365.0","","","27.0","329320.0","210860.0","223807.0",""
"33075.0","28.0","33068.0","9226.0","","Week 28","13017.0","8374.0","12832.0","","","28.0","342337.0","219234.0","236639.0",""
"33082.0","29.0","33075.0","8300.0","","Week 29","13172.0","10052.0","9164.0","","","29.0","355509.0","229286.0","245803.0",""
"33089.0","30.0","33082.0","8723.0","","Week 30","13289.0","9353.0","8245.0","","","30.0","368798.0","238639.0","254048.0",""
"33096.0","31.0","33089.0","8550.0","","Week 31","11349.0","9747.0","6874.0","","","31.0","380147.0","248386.0","260922.0",""
"33103.0","32.0","33096.0","8274.0","","Week 32","16390.0","9230.0","6965.0","","","32.0","396537.0","257616.0","267887.0",""
"33110.0","33.0","33103.0","8616.0","","Week 33","10381.0","11533.0","6998.0","","","33.0","406918.0","269149.0","274885.0",""
"33117.0","34.0","33110.0","8452.0","","Week 34","12217.0","11095.0","7884.0","","","34.0","419135.0","280244.0","282769.0",""
"33124.0","35.0","33117.0","9066.0","","Week 35","10879.0","10428.0","6517.0","","","35.0","430014.0","290672.0","289286.0",""
"33131.0","36.0","33124.0","8861.0","","Week 36","10095.0","14037.0","5720.0","","","36.0","440109.0","304709.0","295006.0",""
