"Report date","Week #","Week ","ME","","Week","1990 Recession","2001 Recession","Great Recession","COVID-19","","Week","1990 Recession","2001 Recession","Great Recession","COVID-19"
"32886.0","1.0","32879.0","4438.0","","Week 1","3699.0","1411.0","1956.0","21459.0","","1.0","3699.0","1411.0","1956.0","21459.0"
"32893.0","2.0","32886.0","6934.0","","Week 2","4238.0","1712.0","1674.0","23770.0","","2.0","7937.0","3123.0","3630.0","45229.0"
"32900.0","3.0","32893.0","3315.0","","Week 3","2416.0","1469.0","2820.0","30910.0","","3.0","10353.0","4592.0","6450.0","76139.0"
"32907.0","4.0","32900.0","3413.0","","Week 4","2035.0","1689.0","2791.0","13488.0","","4.0","12388.0","6281.0","9241.0","89627.0"
"32914.0","5.0","32907.0","3206.0","","Week 5","1834.0","1417.0","2041.0","11769.0","","5.0","14222.0","7698.0","11282.0","101396.0"
"32921.0","6.0","32914.0","3026.0","","Week 6","1809.0","1537.0","1541.0","7661.0","","6.0","16031.0","9235.0","12823.0","109057.0"
"32928.0","7.0","32921.0","2306.0","","Week 7","2179.0","1280.0","1587.0","6993.0","","7.0","18210.0","10515.0","14410.0","116050.0"
"32935.0","8.0","32928.0","3282.0","","Week 8","2179.0","1272.0","1545.0","5579.0","","8.0","20389.0","11787.0","15955.0","121629.0"
"32942.0","9.0","32935.0","2691.0","","Week 9","2507.0","1290.0","1212.0","4726.0","","9.0","22896.0","13077.0","17167.0","126355.0"
"32949.0","10.0","32942.0","2877.0","","Week 10","2112.0","1230.0","1408.0","16667.0","","10.0","25008.0","14307.0","18575.0","143022.0"
"32956.0","11.0","32949.0","2849.0","","Week 11","2082.0","1163.0","1808.0","11151.0","","11.0","27090.0","15470.0","20383.0","154173.0"
"32963.0","12.0","32956.0","2836.0","","Week 12","2907.0","1567.0","1171.0","3117.0","","12.0","29997.0","17037.0","21554.0","157290.0"
"32970.0","13.0","32963.0","2921.0","","Week 13","2455.0","1126.0","1319.0","3013.0","","13.0","32452.0","18163.0","22873.0","160303.0"
"32977.0","14.0","32970.0","2888.0","","Week 14","3149.0","1125.0","1236.0","2911.0","","14.0","35601.0","19288.0","24109.0","163214.0"
"32984.0","15.0","32977.0","2175.0","","Week 15","3233.0","1568.0","1253.0","3119.0","","15.0","38834.0","20856.0","25362.0","166333.0"
"32991.0","16.0","32984.0","2860.0","","Week 16","3425.0","1048.0","1505.0","2939.0","","16.0","42259.0","21904.0","26867.0","169272.0"
"32998.0","17.0","32991.0","2394.0","","Week 17","4093.0","1622.0","1464.0","4696.0","","17.0","46352.0","23526.0","28331.0","173968.0"
"33005.0","18.0","32998.0","2165.0","","Week 18","3332.0","1253.0","1396.0","2276.0","","18.0","49684.0","24779.0","29727.0","176244.0"
