"Report date","Week #","Week ","MO","","Week","1990 Recession","2001 Recession","Great Recession","COVID-19","","Week","1990 Recession","2001 Recession","Great Recession","COVID-19"
"32886.0","1.0","32879.0","18417.0","","Week 1","13150.0","5963.0","14861.0","42246.0","","1.0","13150.0","5963.0","14861.0","42246.0"
"32893.0","2.0","32886.0","15027.0","","Week 2","8741.0","6217.0","9368.0","104291.0","","2.0","21891.0","12180.0","24229.0","146537.0"
"32900.0","3.0","32893.0","12193.0","","Week 3","7921.0","6645.0","12375.0","91458.0","","3.0","29812.0","18825.0","36604.0","237995.0"
"32907.0","4.0","32900.0","8755.0","","Week 4","10451.0","6928.0","14170.0","102126.0","","4.0","40263.0","25753.0","50774.0","340121.0"
"32914.0","5.0","32907.0","8418.0","","Week 5","7528.0","5764.0","8960.0","59602.0","","5.0","47791.0","31517.0","59734.0","399723.0"
"32921.0","6.0","32914.0","9156.0","","Week 6","6685.0","5176.0","8074.0","55299.0","","6.0","54476.0","36693.0","67808.0","455022.0"
"32928.0","7.0","32921.0","9502.0","","Week 7","7840.0","6003.0","8166.0","52527.0","","7.0","62316.0","42696.0","75974.0","507549.0"
"32935.0","8.0","32928.0","8400.0","","Week 8","5883.0","5482.0","7432.0","31145.0","","8.0","68199.0","48178.0","83406.0","538694.0"
"32942.0","9.0","32935.0","10181.0","","Week 9","7451.0","5977.0","7253.0","28244.0","","9.0","75650.0","54155.0","90659.0","566938.0"
"32949.0","10.0","32942.0","9550.0","","Week 10","8085.0","6676.0","7293.0","27436.0","","10.0","83735.0","60831.0","97952.0","594374.0"
"32956.0","11.0","32949.0","7585.0","","Week 11","7090.0","7666.0","7110.0","20650.0","","11.0","90825.0","68497.0","105062.0","615024.0"
"32963.0","12.0","32956.0","6740.0","","Week 12","6889.0","9350.0","6450.0","19907.0","","12.0","97714.0","77847.0","111512.0","634931.0"
"32970.0","13.0","32963.0","8751.0","","Week 13","8550.0","9499.0","9685.0","18912.0","","13.0","106264.0","87346.0","121197.0","653843.0"
"32977.0","14.0","32970.0","7072.0","","Week 14","8712.0","6680.0","7860.0","17358.0","","14.0","114976.0","94026.0","129057.0","671201.0"
"32984.0","15.0","32977.0","6965.0","","Week 15","10240.0","6880.0","7753.0","20008.0","","15.0","125216.0","100906.0","136810.0","691209.0"
"32991.0","16.0","32984.0","6227.0","","Week 16","10321.0","12042.0","6723.0","17685.0","","16.0","135537.0","112948.0","143533.0","708894.0"
"32998.0","17.0","32991.0","6535.0","","Week 17","10793.0","12658.0","7744.0","16883.0","","17.0","146330.0","125606.0","151277.0","725777.0"
"33005.0","18.0","32998.0","6485.0","","Week 18","10367.0","7701.0","6616.0","12332.0","","18.0","156697.0","133307.0","157893.0","738109.0"
"33012.0","19.0","33005.0","7974.0","","Week 19","9993.0","7040.0","7440.0","14938.0","","19.0","166690.0","140347.0","165333.0","753047.0"
"33019.0","20.0","33012.0","7283.0","","Week 20","13724.0","6684.0","5879.0","10900.0","","20.0","180414.0","147031.0","171212.0","763947.0"
"33026.0","21.0","33019.0","5756.0","","Week 21","16835.0","6183.0","5676.0","9015.0","","21.0","197249.0","153214.0","176888.0","772962.0"
"33033.0","22.0","33026.0","7855.0","","Week 22","14351.0","7382.0","6868.0","10654.0","","22.0","211600.0","160596.0","183756.0","783616.0"
"33040.0","23.0","33033.0","7963.0","","Week 23","16685.0","5620.0","7150.0","9283.0","","23.0","228285.0","166216.0","190906.0","792899.0"
"33047.0","24.0","33040.0","8115.0","","Week 24","18175.0","6821.0","7278.0","10509.0","","24.0","246460.0","173037.0","198184.0","803408.0"
