"Report date","Week #","Week ","NY","","Week","1990 Recession","2001 Recession","Great Recession","COVID-19","","Week","1990 Recession","2001 Recession","Great Recession","COVID-19"
"32886.0","1.0","32879.0","37781.0","","Week 1","22540.0","17213.0","21320.0","79999.0","","1.0","22540.0","17213.0","21320.0","79999.0"
"32893.0","2.0","32886.0","26080.0","","Week 2","18632.0","17818.0","22781.0","366595.0","","2.0","41172.0","35031.0","44101.0","446594.0"
"32900.0","3.0","32893.0","28434.0","","Week 3","21085.0","18863.0","53095.0","344451.0","","3.0","62257.0","53894.0","97196.0","791045.0"
"32907.0","4.0","32900.0","23499.0","","Week 4","22051.0","19809.0","27746.0","394701.0","","4.0","84308.0","73703.0","124942.0","1185746.0"
"32914.0","5.0","32907.0","24835.0","","Week 5","18915.0","30557.0","22037.0","205184.0","","5.0","103223.0","104260.0","146979.0","1390930.0"
"32921.0","6.0","32914.0","20567.0","","Week 6","18888.0","20021.0","20042.0","219413.0","","6.0","122111.0","124281.0","167021.0","1610343.0"
"32928.0","7.0","32921.0","19653.0","","Week 7","17165.0","16789.0","21165.0","195110.0","","7.0","139276.0","141070.0","188186.0","1805453.0"
"32935.0","8.0","32928.0","23683.0","","Week 8","17859.0","17489.0","20073.0","199419.0","","8.0","157135.0","158559.0","208259.0","2004872.0"
"32942.0","9.0","32935.0","22122.0","","Week 9","20642.0","18157.0","18603.0","229524.0","","9.0","177777.0","176716.0","226862.0","2234396.0"
"32949.0","10.0","32942.0","19787.0","","Week 10","19386.0","17559.0","18535.0","189698.0","","10.0","197163.0","194275.0","245397.0","2424094.0"
"32956.0","11.0","32949.0","18983.0","","Week 11","18534.0","17316.0","32242.0","82326.0","","11.0","215697.0","211591.0","277639.0","2506420.0"
"32963.0","12.0","32956.0","18326.0","","Week 12","22601.0","19136.0","18738.0","94167.0","","12.0","238298.0","230727.0","296377.0","2600587.0"
"32970.0","13.0","32963.0","20185.0","","Week 13","20250.0","16523.0","16600.0","95559.0","","13.0","258548.0","247250.0","312977.0","2696146.0"
