"State","Pop Age 18+","UI claims","UI claims % of pop","","State","UI claims % of pop"
"US","255200373.0","54271083.0","0.21266067271774716","","SD","0.09438131218560784"
"AK","551562.0","189286.0","0.34318172753017795","","UT","0.09768398970623016"
"AL","3814879.0","752340.0","0.1972120216656937","","CO","0.12136333944328535"
"AR","2317649.0","365840.0","0.15784961398382585","","NE","0.12845754127655257"
"AZ","5638481.0","889691.0","0.15778912795839872","","WV","0.13897862597551272"
"CA","30617582.0","8069662.0","0.26356300768623725","","WY","0.1398438289983709"
"CO","4499217.0","546040.0","0.12136333944328535","","NM","0.14302238568875458"
"CT","2837847.0","516557.0","0.18202425994072266","","ID","0.1501997215549899"
"DC","577581.0","134362.0","0.2326288434003196","","TN","0.15061580640267203"
"DE","770192.0","135422.0","0.17582888422627085","","ND","0.15359921359842307"
"FL","17247808.0","3683536.0","0.2135654571293929","","TX","0.1552605101177895"
"GA","8113542.0","3595759.0","0.4431799330058315","","AZ","0.15778912795839872"
"HI","1116004.0","336876.0","0.3018591331213867","","AR","0.15784961398382585"
"IA","2428229.0","431265.0","0.17760474815184235","","NC","0.16266458736622227"
"ID","1338864.0","201097.0","0.1501997215549899","","IL","0.16738360449712228"
"IL","9853946.0","1649389.0","0.16738360449712228","","MO","0.16828433409701138"
"IN","5164245.0","983787.0","0.1904996761385256","","MT","0.168738023542294"
"KS","2213064.0","418613.0","0.18915539722303557","","VA","0.16887214366071376"
"KY","3464802.0","1203598.0","0.34737858036332236","","ME","0.16919123218638452"
"LA","3561164.0","931983.0","0.261707408027263","","VT","0.16956414318880592"
"MA","5539703.0","1239028.0","0.22366325414918453","","OR","0.1740923705864361"
"MD","4710993.0","844499.0","0.1792613574250694","","DE","0.17582888422627085"
"ME","1095370.0","185327.0","0.16919123218638452","","IA","0.17760474815184235"
"MI","7842924.0","1856305.0","0.23668532297393166","","MD","0.1792613574250694"
"MN","4336475.0","930073.0","0.21447673513625698","","CT","0.18202425994072266"
"MO","4766843.0","802185.0","0.16828433409701138","","OH","0.18345419165958463"
"MS","2277566.0","457974.0","0.2010804516751655","","SC","0.1839044703310018"
"MT","840190.0","141772.0","0.168738023542294","","KS","0.18915539722303557"
"NC","8187369.0","1331795.0","0.16266458736622227","","IN","0.1904996761385256"
"ND","581891.0","89378.0","0.15359921359842307","","WI","0.19406620561710175"
"NE","1458334.0","187334.0","0.12845754127655257","","AL","0.1972120216656937"
"NH","1104458.0","257058.0","0.23274583551389008","","MS","0.2010804516751655"
"NJ","6943612.0","1498095.0","0.21575154256891083","","PA","0.20431633491276413"
"NM","1620991.0","231838.0","0.14302238568875458","","US","0.21266067271774716"
"NV","2387517.0","644549.0","0.26996624526652585","","FL","0.2135654571293929"
"NY","15425262.0","3550947.0","0.23020335084097762","","MN","0.21447673513625698"
"OH","9111081.0","1671466.0","0.18345419165958463","","NJ","0.21575154256891083"
"OK","3004733.0","861652.0","0.28676491388752345","","MA","0.22366325414918453"
"OR","3351175.0","583414.0","0.1740923705864361","","NY","0.23020335084097762"
"PA","10167376.0","2077361.0","0.20431633491276413","","DC","0.2326288434003196"
"RI","854866.0","213858.0","0.25016552301764255","","NH","0.23274583551389008"
"SC","4037531.0","742520.0","0.1839044703310018","","MI","0.23668532297393166"
"SD","667558.0","63005.0","0.09438131218560784","","RI","0.25016552301764255"
"TN","5319123.0","801144.0","0.15061580640267203","","LA","0.261707408027263"
"TX","21596071.0","3353017.0","0.1552605101177895","","CA","0.26356300768623725"
"UT","2274774.0","222209.0","0.09768398970623016","","NV","0.26996624526652585"
"VA","6674671.0","1127166.0","0.16887214366071376","","WA","0.27995632269190396"
"VT","509984.0","86475.0","0.16956414318880592","","OK","0.28676491388752345"
"WA","5951832.0","1666253.0","0.27995632269190396","","HI","0.3018591331213867"
"WI","4555837.0","884134.0","0.19406620561710175","","AK","0.34318172753017795"
"WV","1432580.0","199098.0","0.13897862597551272","","KY","0.34737858036332236"
"WY","445025.0","62234.0","0.1398438289983709","","GA","0.4431799330058315"
