"Report date","Week #","Week ","RI","","Week","1990 Recession","2001 Recession","Great Recession","COVID-19","","Week","1990 Recession","2001 Recession","Great Recession","COVID-19"
"32886.0","1.0","32879.0","3816.0","","Week 1","2448.0","1429.0","2522.0","35847.0","","1.0","2448.0","1429.0","2522.0","35847.0"
"32893.0","2.0","32886.0","3085.0","","Week 2","2064.0","1638.0","3133.0","27800.0","","2.0","4512.0","3067.0","5655.0","63647.0"
"32900.0","3.0","32893.0","2982.0","","Week 3","2243.0","1642.0","2676.0","28243.0","","3.0","6755.0","4709.0","8331.0","91890.0"
"32907.0","4.0","32900.0","2626.0","","Week 4","2081.0","1848.0","3550.0","22509.0","","4.0","8836.0","6557.0","11881.0","114399.0"
"32914.0","5.0","32907.0","2637.0","","Week 5","1700.0","2804.0","2452.0","18078.0","","5.0","10536.0","9361.0","14333.0","132477.0"
"32921.0","6.0","32914.0","2378.0","","Week 6","1684.0","1628.0","1996.0","13084.0","","6.0","12220.0","10989.0","16329.0","145561.0"
"32928.0","7.0","32921.0","3322.0","","Week 7","1557.0","1380.0","1852.0","9088.0","","7.0","13777.0","12369.0","18181.0","154649.0"
"32935.0","8.0","32928.0","2331.0","","Week 8","1836.0","1386.0","2037.0","6245.0","","8.0","15613.0","13755.0","20218.0","160894.0"
"32942.0","9.0","32935.0","2210.0","","Week 9","1661.0","1389.0","2115.0","3883.0","","9.0","17274.0","15144.0","22333.0","164777.0"
"32949.0","10.0","32942.0","1873.0","","Week 10","1612.0","1459.0","2814.0","2937.0","","10.0","18886.0","16603.0","25147.0","167714.0"
"32956.0","11.0","32949.0","2014.0","","Week 11","1624.0","1245.0","1916.0","2748.0","","11.0","20510.0","17848.0","27063.0","170462.0"
"32963.0","12.0","32956.0","1758.0","","Week 12","1979.0","1316.0","1515.0","3518.0","","12.0","22489.0","19164.0","28578.0","173980.0"
"32970.0","13.0","32963.0","2499.0","","Week 13","1988.0","1441.0","1783.0","2641.0","","13.0","24477.0","20605.0","30361.0","176621.0"
"32977.0","14.0","32970.0","2023.0","","Week 14","1816.0","2582.0","1485.0","4014.0","","14.0","26293.0","23187.0","31846.0","180635.0"
"32984.0","15.0","32977.0","2783.0","","Week 15","1921.0","2419.0","1335.0","3229.0","","15.0","28214.0","25606.0","33181.0","183864.0"
"32991.0","16.0","32984.0","1966.0","","Week 16","2206.0","2440.0","1279.0","3436.0","","16.0","30420.0","28046.0","34460.0","187300.0"
"32998.0","17.0","32991.0","2195.0","","Week 17","2538.0","2338.0","1445.0","3133.0","","17.0","32958.0","30384.0","35905.0","190433.0"
"33005.0","18.0","32998.0","2371.0","","Week 18","2146.0","1522.0","3224.0","3258.0","","18.0","35104.0","31906.0","39129.0","193691.0"
"33012.0","19.0","33005.0","1850.0","","Week 19","2958.0","1107.0","1389.0","3635.0","","19.0","38062.0","33013.0","40518.0","197326.0"
"33019.0","20.0","33012.0","2069.0","","Week 20","2504.0","1357.0","1172.0","3722.0","","20.0","40566.0","34370.0","41690.0","201048.0"
"33026.0","21.0","33019.0","2111.0","","Week 21","3328.0","1300.0","1201.0","3324.0","","21.0","43894.0","35670.0","42891.0","204372.0"
"33033.0","22.0","33026.0","2047.0","","Week 22","3585.0","1051.0","1402.0","2683.0","","22.0","47479.0","36721.0","44293.0","207055.0"
"33040.0","23.0","33033.0","2469.0","","Week 23","3925.0","1197.0","1352.0","3186.0","","23.0","51404.0","37918.0","45645.0","210241.0"
"33047.0","24.0","33040.0","3097.0","","Week 24","10203.0","1298.0","1254.0","3680.0","","24.0","61607.0","39216.0","46899.0","213921.0"
"33054.0","25.0","33047.0","3196.0","","Week 25","5249.0","1177.0","1333.0","3251.0","","25.0","66856.0","40393.0","48232.0","217172.0"
"33061.0","26.0","33054.0","5330.0","","Week 26","5886.0","1282.0","1525.0","3026.0","","26.0","72742.0","41675.0","49757.0","220198.0"
"33068.0","27.0","33061.0","3221.0","","Week 27","4061.0","1189.0","2106.0","2830.0","","27.0","76803.0","42864.0","51863.0","223028.0"
"33075.0","28.0","33068.0","2448.0","","Week 28","3041.0","1330.0","2264.0","3098.0","","28.0","79844.0","44194.0","54127.0","226126.0"
"33082.0","29.0","33075.0","2064.0","","Week 29","3294.0","1411.0","2984.0","2801.0","","29.0","83138.0","45605.0","57111.0","228927.0"
"33089.0","30.0","33082.0","2243.0","","Week 30","2870.0","1424.0","1718.0","3059.0","","30.0","86008.0","47029.0","58829.0","231986.0"
"33096.0","31.0","33089.0","2081.0","","Week 31","2940.0","1570.0","1901.0","2377.0","","31.0","88948.0","48599.0","60730.0","234363.0"
"33103.0","32.0","33096.0","1700.0","","Week 32","3839.0","1437.0","1191.0","","","32.0","92787.0","50036.0","61921.0",""
"33110.0","33.0","33103.0","1684.0","","Week 33","2490.0","1690.0","1295.0","","","33.0","95277.0","51726.0","63216.0",""
"33117.0","34.0","33110.0","1557.0","","Week 34","2659.0","1692.0","1377.0","","","34.0","97936.0","53418.0","64593.0",""
"33124.0","35.0","33117.0","1836.0","","Week 35","2404.0","1504.0","1280.0","","","35.0","100340.0","54922.0","65873.0",""
"33131.0","36.0","33124.0","1661.0","","Week 36","2325.0","1937.0","1578.0","","","36.0","102665.0","56859.0","67451.0",""
"33138.0","37.0","33131.0","1612.0","","Week 37","2553.0","2162.0","1703.0","","","37.0","105218.0","59021.0","69154.0",""
