"Report date","Week #","Week ","TN","","Week","1990 Recession","2001 Recession","Great Recession","COVID-19","","Week","1990 Recession","2001 Recession","Great Recession","COVID-19"
"32886.0","1.0","32879.0","34615.0","","Week 1","22199.0","8482.0","12469.0","38077.0","","1.0","22199.0","8482.0","12469.0","38077.0"
"32893.0","2.0","32886.0","19021.0","","Week 2","22418.0","7095.0","18612.0","92500.0","","2.0","44617.0","15577.0","31081.0","130577.0"
"32900.0","3.0","32893.0","13115.0","","Week 3","10736.0","8439.0","8134.0","112186.0","","3.0","55353.0","24016.0","39215.0","242763.0"
"32907.0","4.0","32900.0","9745.0","","Week 4","8433.0","7306.0","5636.0","71887.0","","4.0","63786.0","31322.0","44851.0","314650.0"
"32914.0","5.0","32907.0","8747.0","","Week 5","8544.0","6690.0","6341.0","67226.0","","5.0","72330.0","38012.0","51192.0","381876.0"
"32921.0","6.0","32914.0","7861.0","","Week 6","8351.0","6752.0","5899.0","42805.0","","6.0","80681.0","44764.0","57091.0","424681.0"
"32928.0","7.0","32921.0","8395.0","","Week 7","8718.0","8359.0","5686.0","36323.0","","7.0","89399.0","53123.0","62777.0","461004.0"
"32935.0","8.0","32928.0","9462.0","","Week 8","7151.0","7336.0","4596.0","28377.0","","8.0","96550.0","60459.0","67373.0","489381.0"
"32942.0","9.0","32935.0","8793.0","","Week 9","8779.0","8917.0","4553.0","28692.0","","9.0","105329.0","69376.0","71926.0","518073.0"
"32949.0","10.0","32942.0","6109.0","","Week 10","7476.0","11938.0","5738.0","","","10.0","112805.0","81314.0","77664.0",""
"32956.0","11.0","32949.0","6373.0","","Week 11","7926.0","9263.0","5228.0","","","11.0","120731.0","90577.0","82892.0",""
"32963.0","12.0","32956.0","6838.0","","Week 12","6593.0","6831.0","4759.0","","","12.0","127324.0","97408.0","87651.0",""
"32970.0","13.0","32963.0","10091.0","","Week 13","8543.0","6140.0","6124.0","","","13.0","135867.0","103548.0","93775.0",""
"32977.0","14.0","32970.0","8441.0","","Week 14","10706.0","10456.0","5944.0","","","14.0","146573.0","114004.0","99719.0",""
"32984.0","15.0","32977.0","7932.0","","Week 15","7769.0","23173.0","6575.0","","","15.0","154342.0","137177.0","106294.0",""
"32991.0","16.0","32984.0","6536.0","","Week 16","7407.0","15905.0","5480.0","","","16.0","161749.0","153082.0","111774.0",""
"32998.0","17.0","32991.0","6554.0","","Week 17","9791.0","9208.0","4826.0","","","17.0","171540.0","162290.0","116600.0",""
"33005.0","18.0","32998.0","7013.0","","Week 18","10635.0","8239.0","5378.0","","","18.0","182175.0","170529.0","121978.0",""
"33012.0","19.0","33005.0","6863.0","","Week 19","9189.0","8620.0","6223.0","","","19.0","191364.0","179149.0","128201.0",""
"33019.0","20.0","33012.0","7199.0","","Week 20","7472.0","6562.0","5809.0","","","20.0","198836.0","185711.0","134010.0",""
"33026.0","21.0","33019.0","5282.0","","Week 21","17486.0","6084.0","6092.0","","","21.0","216322.0","191795.0","140102.0",""
"33033.0","22.0","33026.0","6145.0","","Week 22","15176.0","7041.0","6613.0","","","22.0","231498.0","198836.0","146715.0",""
"33040.0","23.0","33033.0","6215.0","","Week 23","12161.0","6357.0","8098.0","","","23.0","243659.0","205193.0","154813.0",""
"33047.0","24.0","33040.0","6220.0","","Week 24","11018.0","6925.0","6421.0","","","24.0","254677.0","212118.0","161234.0",""
"33054.0","25.0","33047.0","6043.0","","Week 25","14439.0","6405.0","6138.0","","","25.0","269116.0","218523.0","167372.0",""
"33061.0","26.0","33054.0","8767.0","","Week 26","20492.0","7352.0","5361.0","","","26.0","289608.0","225875.0","172733.0",""
"33068.0","27.0","33061.0","22199.0","","Week 27","35215.0","8076.0","5767.0","","","27.0","324823.0","233951.0","178500.0",""
"33075.0","28.0","33068.0","22418.0","","Week 28","14426.0","9326.0","14289.0","","","28.0","339249.0","243277.0","192789.0",""
"33082.0","29.0","33075.0","10736.0","","Week 29","8546.0","7950.0","9979.0","","","29.0","347795.0","251227.0","202768.0",""
"33089.0","30.0","33082.0","8433.0","","Week 30","9309.0","9093.0","7360.0","","","30.0","357104.0","260320.0","210128.0",""
"33096.0","31.0","33089.0","8544.0","","Week 31","9743.0","7639.0","6089.0","","","31.0","366847.0","267959.0","216217.0",""
"33103.0","32.0","33096.0","8351.0","","Week 32","8554.0","8465.0","6307.0","","","32.0","375401.0","276424.0","222524.0",""
"33110.0","33.0","33103.0","8718.0","","Week 33","5754.0","7728.0","5315.0","","","33.0","381155.0","284152.0","227839.0",""
"33117.0","34.0","33110.0","7151.0","","Week 34","14680.0","6661.0","5833.0","","","34.0","395835.0","290813.0","233672.0",""
"33124.0","35.0","33117.0","8779.0","","Week 35","11151.0","16839.0","7357.0","","","35.0","406986.0","307652.0","241029.0",""
"33131.0","36.0","33124.0","7476.0","","Week 36","","","5875.0","","","36.0","","","246904.0",""
"33138.0","37.0","33131.0","7926.0","","Week 37","","","6682.0","","","37.0","","","253586.0",""
"33145.0","38.0","33138.0","6593.0","","Week 38","","","5089.0","","","38.0","","","258675.0",""
"33152.0","39.0","33145.0","8543.0","","Week 39","","","5292.0","","","39.0","","","263967.0",""
"33159.0","40.0","33152.0","10706.0","","Week 40","","","7628.0","","","40.0","","","271595.0",""
"33166.0","41.0","33159.0","7769.0","","Week 41","","","7244.0","","","41.0","","","278839.0",""
"33173.0","42.0","33166.0","7407.0","","Week 42","","","9200.0","","","42.0","","","288039.0",""
"33180.0","43.0","33173.0","9791.0","","Week 43","","","7122.0","","","43.0","","","295161.0",""
"33187.0","44.0","33180.0","10635.0","","Week 44","","","8140.0","","","44.0","","","303301.0",""
"33194.0","45.0","33187.0","9189.0","","Week 45","","","13207.0","","","45.0","","","316508.0",""
"33201.0","46.0","33194.0","7472.0","","Week 46","","","8641.0","","","46.0","","","325149.0",""
"33208.0","47.0","33201.0","17486.0","","Week 47","","","11731.0","","","47.0","","","336880.0",""
"33215.0","48.0","33208.0","15176.0","","Week 48","","","6750.0","","","48.0","","","343630.0",""
"33222.0","49.0","33215.0","12161.0","","Week 49","","","18920.0","","","49.0","","","362550.0",""
"33229.0","50.0","33222.0","11018.0","","Week 50","","","13577.0","","","50.0","","","376127.0",""
"33236.0","51.0","33229.0","14439.0","","Week 51","","","14702.0","","","51.0","","","390829.0",""
"33243.0","52.0","33236.0","20492.0","","Week 52","","","12118.0","","","52.0","","","402947.0",""
"33250.0","1.0","33243.0","35215.0","","Week 53","","","18490.0","","","53.0","","","421437.0",""
"33257.0","2.0","33250.0","14426.0","","Week 54","","","30753.0","","","54.0","","","452190.0",""
"33264.0","3.0","33257.0","8546.0","","Week 55","","","22515.0","","","55.0","","","474705.0",""
"33271.0","4.0","33264.0","9309.0","","Week 56","","","15045.0","","","56.0","","","489750.0",""
"33278.0","5.0","33271.0","9743.0","","Week 57","","","17296.0","","","57.0","","","507046.0",""
"33285.0","6.0","33278.0","8554.0","","Week 58","","","15578.0","","","58.0","","","522624.0",""
"33292.0","7.0","33285.0","5754.0","","Week 59","","","12235.0","","","59.0","","","534859.0",""
"33299.0","8.0","33292.0","14680.0","","Week 60","","","12691.0","","","60.0","","","547550.0",""
"33306.0","9.0","33299.0","11151.0","","Week 61","","","14773.0","","","61.0","","","562323.0",""
"33313.0","10.0","33306.0","9476.0","","Week 62","","","12620.0","","","62.0","","","574943.0",""
"33320.0","11.0","33313.0","8717.0","","Week 63","","","14014.0","","","63.0","","","588957.0",""
"33327.0","12.0","33320.0","7720.0","","Week 64","","","11307.0","","","64.0","","","600264.0",""
"33334.0","13.0","33327.0","12673.0","","Week 65","","","14025.0","","","65.0","","","614289.0",""
"33341.0","14.0","33334.0","10999.0","","Week 66","","","15646.0","","","66.0","","","629935.0",""
"33348.0","15.0","33341.0","11223.0","","Week 67","","","12192.0","","","67.0","","","642127.0",""
"33355.0","16.0","33348.0","7820.0","","Week 68","","","11932.0","","","68.0","","","654059.0",""
"33362.0","17.0","33355.0","8061.0","","Week 69","","","10929.0","","","69.0","","","664988.0",""
"33369.0","18.0","33362.0","8401.0","","Week 70","","","10242.0","","","70.0","","","675230.0",""
"33376.0","19.0","33369.0","6271.0","","Week 71","","","12396.0","","","71.0","","","687626.0",""
"33383.0","20.0","33376.0","7072.0","","Week 72","","","12545.0","","","72.0","","","700171.0",""
"33390.0","21.0","33383.0","7130.0","","Week 73","","","10492.0","","","73.0","","","710663.0",""
"33397.0","22.0","33390.0","8895.0","","Week 74","","","11164.0","","","74.0","","","721827.0",""
"33404.0","23.0","33397.0","7079.0","","Week 75","","","15069.0","","","75.0","","","736896.0",""
"33411.0","24.0","33404.0","6667.0","","Week 76","","","10655.0","","","76.0","","","747551.0",""
"33418.0","25.0","33411.0","6771.0","","Week 77","","","12307.0","","","77.0","","","759858.0",""
"33425.0","26.0","33418.0","9379.0","","Week 78","","","9564.0","","","78.0","","","769422.0",""
"33432.0","27.0","33425.0","24413.0","","Week 79","","","8990.0","","","79.0","","","778412.0",""
"33439.0","28.0","33432.0","16415.0","","","","","","","","","","","",""
"33446.0","29.0","33439.0","7962.0","","","","","","","","","","","",""
"33453.0","30.0","33446.0","8013.0","","","","","","","","","","","",""
"33460.0","31.0","33453.0","8094.0","","","","","","","","","","","",""
"33467.0","32.0","33460.0","8547.0","","","","","","","","","","","",""
"33474.0","33.0","33467.0","7265.0","","","","","","","","","","","",""
"33481.0","34.0","33474.0","5314.0","","","","","","","","","","","",""
"33488.0","35.0","33481.0","5435.0","","","","","","","","","","","",""
"33495.0","36.0","33488.0","7602.0","","","","","","","","","","","",""
"33502.0","37.0","33495.0","6327.0","","","","","","","","","","","",""
"33509.0","38.0","33502.0","5187.0","","","","","","","","","","","",""
"33516.0","39.0","33509.0","7553.0","","","","","","","","","","","",""
"33523.0","40.0","33516.0","7462.0","","","","","","","","","","","",""
"33530.0","41.0","33523.0","6697.0","","","","","","","","","","","",""
"33537.0","42.0","33530.0","6791.0","","","","","","","","","","","",""
"33544.0","43.0","33537.0","7306.0","","","","","","","","","","","",""
"33551.0","44.0","33544.0","9164.0","","","","","","","","","","","",""
"33558.0","45.0","33551.0","7995.0","","","","","","","","","","","",""
"33565.0","46.0","33558.0","14328.0","","","","","","","","","","","",""
"33572.0","47.0","33565.0","7740.0","","","","","","","","","","","",""
"33579.0","48.0","33572.0","17611.0","","","","","","","","","","","",""
"33586.0","49.0","33579.0","12314.0","","","","","","","","","","","",""
"33593.0","50.0","33586.0","10094.0","","","","","","","","","","","",""
"33600.0","51.0","33593.0","9886.0","","","","","","","","","","","",""
"33607.0","52.0","33600.0","26865.0","","","","","","","","","","","",""
"33614.0","1.0","33607.0","52529.0","","","","","","","","","","","",""
"33621.0","2.0","33614.0","24052.0","","","","","","","","","","","",""
"33628.0","3.0","33621.0","12457.0","","","","","","","","","","","",""
"33635.0","4.0","33628.0","9074.0","","","","","","","","","","","",""
"33642.0","5.0","33635.0","9496.0","","","","","","","","","","","",""
"33649.0","6.0","33642.0","9445.0","","","","","","","","","","","",""
"33656.0","7.0","33649.0","6797.0","","","","","","","","","","","",""
"33663.0","8.0","33656.0","9332.0","","","","","","","","","","","",""
"33670.0","9.0","33663.0","8363.0","","","","","","","","","","","",""
"33677.0","10.0","33670.0","6779.0","","","","","","","","","","","",""
"33684.0","11.0","33677.0","6381.0","","","","","","","","","","","",""
"33691.0","12.0","33684.0","6378.0","","","","","","","","","","","",""
"33698.0","13.0","33691.0","7303.0","","","","","","","","","","","",""
"33705.0","14.0","33698.0","8612.0","","","","","","","","","","","",""
"33712.0","15.0","33705.0","5406.0","","","","","","","","","","","",""
"33719.0","16.0","33712.0","7550.0","","","","","","","","","","","",""
"33726.0","17.0","33719.0","6809.0","","","","","","","","","","","",""
"33733.0","18.0","33726.0","6552.0","","","","","","","","","","","",""
"33740.0","19.0","33733.0","5531.0","","","","","","","","","","","",""
"33747.0","20.0","33740.0","5998.0","","","","","","","","","","","",""
"33754.0","21.0","33747.0","5431.0","","","","","","","","","","","",""
"33761.0","22.0","33754.0","6794.0","","","","","","","","","","","",""
