"Report date","Week #","Week ","TX","","Week","1990 Recession","2001 Recession","Great Recession","COVID-19","","Week","1990 Recession","2001 Recession","Great Recession","COVID-19"
"32886.0","1.0","32879.0","18406.0","","Week 1","13703.0","16028.0","17933.0","155426.0","","1.0","13703.0","16028.0","17933.0","155426.0"
"32893.0","2.0","32886.0","19937.0","","Week 2","12638.0","16466.0","9309.0","276185.0","","2.0","26341.0","32494.0","27242.0","431611.0"
"32900.0","3.0","32893.0","17739.0","","Week 3","13393.0","20182.0","12388.0","315167.0","","3.0","39734.0","52676.0","39630.0","746778.0"
"32907.0","4.0","32900.0","17507.0","","Week 4","13804.0","15175.0","16181.0","274257.0","","4.0","53538.0","67851.0","55811.0","1021035.0"
"32914.0","5.0","32907.0","18883.0","","Week 5","12384.0","17253.0","14692.0","280761.0","","5.0","65922.0","85104.0","70503.0","1301796.0"
"32921.0","6.0","32914.0","15738.0","","Week 6","12683.0","16557.0","11805.0","254084.0","","6.0","78605.0","101661.0","82308.0","1555880.0"
"32928.0","7.0","32921.0","13824.0","","Week 7","11841.0","18143.0","12968.0","243935.0","","7.0","90446.0","119804.0","95276.0","1799815.0"
"32935.0","8.0","32928.0","14469.0","","Week 8","12049.0","16852.0","12714.0","141553.0","","8.0","102495.0","136656.0","107990.0","1941368.0"
"32942.0","9.0","32935.0","15189.0","","Week 9","12458.0","18701.0","11990.0","134065.0","","9.0","114953.0","155357.0","119980.0","2075433.0"
"32949.0","10.0","32942.0","15531.0","","Week 10","12462.0","17254.0","11881.0","127717.0","","10.0","127415.0","172611.0","131861.0","2203150.0"
"32956.0","11.0","32949.0","13951.0","","Week 11","12704.0","19196.0","12442.0","106821.0","","11.0","140119.0","191807.0","144303.0","2309971.0"
"32963.0","12.0","32956.0","12749.0","","Week 12","13159.0","16879.0","13072.0","","","12.0","153278.0","208686.0","157375.0",""
"32970.0","13.0","32963.0","13153.0","","Week 13","14376.0","17372.0","15247.0","","","13.0","167654.0","226058.0","172622.0",""
"32977.0","14.0","32970.0","13640.0","","Week 14","15693.0","17415.0","12700.0","","","14.0","183347.0","243473.0","185322.0",""
"32984.0","15.0","32977.0","12018.0","","Week 15","16097.0","21124.0","12344.0","","","15.0","199444.0","264597.0","197666.0",""
"32991.0","16.0","32984.0","13033.0","","Week 16","14796.0","20157.0","14721.0","","","16.0","214240.0","284754.0","212387.0",""
"32998.0","17.0","32991.0","11655.0","","Week 17","16283.0","17211.0","14823.0","","","17.0","230523.0","301965.0","227210.0",""
"33005.0","18.0","32998.0","12262.0","","Week 18","17371.0","17533.0","16760.0","","","18.0","247894.0","319498.0","243970.0",""
"33012.0","19.0","33005.0","11529.0","","Week 19","14866.0","17491.0","13387.0","","","19.0","262760.0","336989.0","257357.0",""
"33019.0","20.0","33012.0","13176.0","","Week 20","15546.0","18387.0","13463.0","","","20.0","278306.0","355376.0","270820.0",""
"33026.0","21.0","33019.0","10539.0","","Week 21","18412.0","16267.0","13663.0","","","21.0","296718.0","371643.0","284483.0",""
"33033.0","22.0","33026.0","12152.0","","Week 22","17432.0","16933.0","13705.0","","","22.0","314150.0","388576.0","298188.0",""
