week,state,recession_90,recession_01,recession_07,covid
1,US,443883.0,393070.0,522297.0,2932764.0
2,US,847760.0,737913.0,1065337.0,8955739.0
3,US,1198369.0,1103589.0,1476380.0,15168262.0
4,US,1529742.0,1451997.0,1842375.0,20132935.0
5,US,1854848.0,1784449.0,2219071.0,24430643.0
6,US,2163304.0,2112351.0,2593129.0,27946082.0
7,US,2460516.0,2447478.0,2916258.0,30801643.0
8,US,2761244.0,2787780.0,3243389.0,33158237.0
9,US,3034798.0,3119695.0,3585603.0,35332566.0
10,US,3353731.0,3511355.0,3923880.0,
11,US,3655657.0,3861937.0,4256899.0,
12,US,3958252.0,4209575.0,4573015.0,
13,US,4314841.0,4580901.0,4911091.0,
14,US,4666164.0,5103467.0,5265216.0,
15,US,5047734.0,5621589.0,5631616.0,
16,US,5436664.0,6023151.0,5956744.0,
17,US,5855850.0,6354220.0,6291971.0,
18,US,6315218.0,6690316.0,6624291.0,
19,US,6744086.0,7018408.0,6946518.0,
20,US,7164128.0,7331355.0,7263183.0,
21,US,7728135.0,7635471.0,7586457.0,
22,US,8298441.0,7950202.0,7883779.0,
23,US,8817935.0,8256171.0,8251775.0,
24,US,9450059.0,8569428.0,8597590.0,
25,US,10094881.0,8918425.0,8952390.0,
26,US,10743237.0,9314705.0,9317790.0,
27,US,11612204.0,9751105.0,9716109.0,
28,US,12296930.0,10173461.0,10187328.0,
29,US,12803868.0,10597557.0,10586903.0,
30,US,13361596.0,11029604.0,10961039.0,
31,US,13931336.0,11469126.0,11339055.0,
32,US,14424355.0,11921460.0,11705713.0,
33,US,14912931.0,12338088.0,12041159.0,
34,US,15412249.0,12774563.0,12378070.0,
35,US,15922004.0,13375822.0,12732237.0,
36,US,,,13063408.0,
37,US,,,13439604.0,
38,US,,,13832781.0,
39,US,,,14221346.0,
40,US,,,14644654.0,
41,US,,,15094413.0,
42,US,,,15507657.0,
43,US,,,15953649.0,
44,US,,,16416365.0,
45,US,,,16953414.0,
46,US,,,17463422.0,
47,US,,,18069468.0,
48,US,,,18604033.0,
49,US,,,19360519.0,
50,US,,,19987145.0,
51,US,,,20703311.0,
52,US,,,21418511.0,
53,US,,,22148717.0,
54,US,,,23101633.0,
55,US,,,23860470.0,
56,US,,,24475176.0,
57,US,,,25151276.0,
58,US,,,25855382.0,
59,US,,,26470420.0,
60,US,,,27071801.0,
61,US,,,27713432.0,
62,US,,,28361545.0,
63,US,,,28958464.0,
64,US,,,29544613.0,
65,US,,,30140449.0,
66,US,,,30759325.0,
67,US,,,31367856.0,
68,US,,,31962204.0,
69,US,,,32540252.0,
70,US,,,33072770.0,
71,US,,,33638731.0,
72,US,,,34175481.0,
73,US,,,34709414.0,
74,US,,,35205515.0,
75,US,,,35783440.0,
76,US,,,36340200.0,
77,US,,,36908374.0,
78,US,,,37468131.0,
79,US,,,38050500.0,
1,AK,1163.0,2008.0,1584.0,7847.0
2,AK,2365.0,3764.0,4765.0,21621.0
3,AK,3469.0,5323.0,6862.0,36211.0
4,AK,4425.0,6938.0,8563.0,48218.0
5,AK,5342.0,8607.0,10456.0,60419.0
6,AK,6409.0,10165.0,12090.0,70732.0
7,AK,7478.0,11620.0,13571.0,79450.0
8,AK,8470.0,13063.0,15046.0,87257.0
9,AK,9444.0,14405.0,16507.0,95374.0
10,AK,10783.0,15930.0,18095.0,
11,AK,11996.0,17295.0,19635.0,
12,AK,13131.0,18658.0,21187.0,
13,AK,15430.0,20021.0,22694.0,
14,AK,17373.0,21351.0,23961.0,
15,AK,19013.0,22669.0,25974.0,
16,AK,21010.0,23844.0,27622.0,
17,AK,22976.0,25008.0,29024.0,
18,AK,24674.0,26211.0,30505.0,
19,AK,26343.0,27373.0,31899.0,
20,AK,28001.0,28481.0,33243.0,
21,AK,29933.0,29624.0,34692.0,
22,AK,31633.0,30737.0,36073.0,
23,AK,33159.0,32027.0,37419.0,
24,AK,34847.0,33517.0,38736.0,
25,AK,36148.0,35255.0,39887.0,
26,AK,38186.0,37050.0,40997.0,
27,AK,41010.0,38996.0,41827.0,
28,AK,43113.0,40761.0,43403.0,
29,AK,45008.0,42607.0,44600.0,
30,AK,46973.0,44934.0,45867.0,
31,AK,49272.0,47259.0,47082.0,
32,AK,50812.0,49429.0,48804.0,
33,AK,52572.0,51372.0,50157.0,
34,AK,54487.0,52992.0,51476.0,
35,AK,56245.0,55150.0,52753.0,
36,AK,,,53877.0,
37,AK,,,55006.0,
38,AK,,,56294.0,
39,AK,,,57666.0,
40,AK,,,59212.0,
41,AK,,,61323.0,
42,AK,,,62991.0,
43,AK,,,65104.0,
44,AK,,,67194.0,
45,AK,,,69421.0,
46,AK,,,71318.0,
47,AK,,,73415.0,
48,AK,,,74968.0,
49,AK,,,76977.0,
50,AK,,,78629.0,
51,AK,,,80462.0,
52,AK,,,81699.0,
53,AK,,,83211.0,
54,AK,,,87371.0,
55,AK,,,90024.0,
56,AK,,,92242.0,
57,AK,,,95050.0,
58,AK,,,97502.0,
59,AK,,,99574.0,
60,AK,,,101351.0,
61,AK,,,103323.0,
62,AK,,,105430.0,
63,AK,,,107444.0,
64,AK,,,109438.0,
65,AK,,,111342.0,
66,AK,,,113150.0,
67,AK,,,116316.0,
68,AK,,,118618.0,
69,AK,,,120647.0,
70,AK,,,122781.0,
71,AK,,,124783.0,
72,AK,,,126633.0,
73,AK,,,128545.0,
74,AK,,,130622.0,
75,AK,,,132591.0,
76,AK,,,134371.0,
77,AK,,,135986.0,
78,AK,,,137588.0,
79,AK,,,138973.0,
1,AL,15279.0,10372.0,12507.0,10892.0
2,AL,28203.0,15750.0,23842.0,91876.0
3,AL,37344.0,20363.0,30634.0,198615.0
4,AL,45750.0,27570.0,34781.0,276130.0
5,AL,52715.0,33594.0,39778.0,342562.0
6,AL,58270.0,39220.0,44341.0,417528.0
7,AL,64483.0,44316.0,48731.0,446513.0
8,AL,70377.0,50019.0,54007.0,473179.0
9,AL,77635.0,56870.0,58580.0,497707.0
10,AL,83228.0,64308.0,62892.0,
11,AL,88412.0,72233.0,67089.0,
12,AL,93490.0,78624.0,70865.0,
13,AL,99728.0,84127.0,76205.0,
14,AL,106644.0,89268.0,81998.0,
15,AL,112163.0,105920.0,86684.0,
